商品标题,商品价格,评论量,标签,商品详情页
美的（Midea）555升变频一级能效对开门双开门电冰箱家用智能净味无霜MR-582WKPZE超薄大容量可嵌入,5599,20万+,自营,https://item.jd.com/100052027549.html
美的（Midea）慧鲜471升一级能效双变频十字双开门对开多门家用无霜电京东小家BCD-471WSPZM(E)超薄大容量,3299,20万+,"自营,满3200-300",https://item.jd.com/100012369805.html
美的(Midea)185升 二门双开门租房小户型家用小冰箱 风冷无霜双系统 小机身大容量BCD-185WM(E)摩卡金,1699,10万+,"自营,满1300-200",https://item.jd.com/100015245043.html
容声（Ronshen）319升变频一级能效法式多门四开门冰箱家用风冷无霜超薄大容量BCD-319WD11MP三档调温,2799,20万+,"自营,满2700-200,赠",https://item.jd.com/6679030.html
海尔（Haier）335升星辉系列一级能效双变频法式多门四开门法式家用电冰箱超薄风冷无霜变温BCD-335WLHFD9DS9,2999,50万+,"自营,秒杀,赠",https://item.jd.com/100035718848.html
美的(Midea)247升三门小型冰箱家用电冰箱变频一级能效小冰箱BCD-247WTPZM(E)京东小家智能家电,1999,20万+,"自营,秒杀",https://item.jd.com/100017784908.html
美菱(MELING)【光谱养鲜系列】536升十字对开四多门家用电冰箱一级能效风冷无霜双变频BCD-536WPU9CY,3499,5000+,自营,https://item.jd.com/100026249060.html
容声（Ronshen）218升三开门小冰箱家用小型风冷无霜节能租房宿舍小巧不占地BCD-218WD12NY中门软冷冻,1799,50万+,"自营,满1700-100",https://item.jd.com/100005745922.html
康佳（KONKA）288升 多门法式四门双开门家用电冰箱 节能低噪保鲜 分类存储水润鲜超薄系列BCD-288GY4S,1599,20万+,自营,https://item.jd.com/2311722.html
康佳（KONKA）606升智能双变频一级能效风冷无霜除菌净味超大容量对开双开门家用电BCD-606WEGQ5SP晶钻灰,2199,10万+,自营,https://item.jd.com/100021102127.html
TCL 318升V5法式养鲜冰箱变频一级分区养鲜多门对开门超薄家用电冰箱 一级能效 33分贝轻音R318V5-D,2199,20万+,"自营,满1000-100,赠",https://item.jd.com/100021688565.html
米家小米米家430升分区养鲜超薄大容量十字对开门双开门家用冰箱 一级能效银离子除菌净味BCD-430WMSA,1984,10万+,自营,https://item.jd.com/100037768003.html
【新品首发】创维439升法式一级能效电冰箱,2699,5万+,自营,https://item.jd.com/100050071533.html
创维(SKYWORTH)186升双门小型电冰箱 家用租房两门冰箱 两天约一度电节能低音微霜大空间 BCD-186D银色,859,20万+,自营,https://item.jd.com/100001962610.html
米家小米出品215升 三门小型家用电冰箱 三门三温节能安静运行冷冻冷藏 租房宿舍 BCD-215MDMJ05,894,10万+,自营,https://item.jd.com/100016393634.html
创维(SKYWORTH) 160升小型双门冰箱家用两门小冰箱 节能电冰箱 宿舍租户神器 节能降噪 BCD-160,799,50万+,自营,https://item.jd.com/990705.html
HYUNDAI（韩国现代）157升 双门电冰箱小型家用双开门冰箱 宿舍租房冷藏冷冻小 【157升】店长推荐【冷藏三层1抽屉下冷冻2抽屉】,698,1万+,"秒杀,免邮,券300-5,每满708-10,赠",https://item.jd.com/69995207624.html
HYUNDAI（韩国现代）108升三门小冰箱 多门小型迷你租房宿舍电冰箱节能保鲜 108升【租房3人适用】店长推荐,538,5万+,"京东物流,秒杀,免邮,每满558-20,",https://item.jd.com/28727205233.html
三星（SAMSUNG）488升双循环风冷变频冰箱 十字对开门多门家用电冰箱 无霜高保湿快速冷冻 RF48A4000M9/SC 银,4999,1万+,"自营,厂商配送",https://item.jd.com/100033374044.html
美的(Midea)215升大容量三门三温超薄小户型租房家用宿舍节能保鲜省电低音软冷冻三开门小 BCD-215TM榭湖银,1358,1万+,"自营,每满1348-59",https://item.jd.com/10047243029338.html
海尔（Haier）冰箱小型双开门三开门小冰箱家用家电超薄风冷无霜/节能直冷迷你DEO净味保鲜二门智能电 118升双门节能直冷118TMPA,898.9,10万+,"京东物流,秒杀,免邮,券8888-88,赠",https://item.jd.com/47905315580.html
海尔（Haier）(Haier)海尔冰箱三开门双开门风冷无霜/节能直冷超薄家电智能家用小型电 218升三门直冷218STPS,1298.9,2万+,"京东物流,秒杀,免邮,券8888-88",https://item.jd.com/10026811615882.html
荣事达（Royalstar）208L家用大容量三门冰箱 节能低噪租房中门软冷冻超薄微霜低音保鲜 102A166 三天一度电【一级能效】,678,2000+,"免邮,每满678-10",https://item.jd.com/10067146393074.html
Haier海尔冰箱三门超薄小型迷你家用家电风冷无霜/直冷小冰箱电冰箱 218升三开门节能直冷218STPS,1299,5万+,"京东物流,免邮,满1300-10",https://item.jd.com/61295583565.html
美的（Midea）443升对开门T型三开门多门三温分储双变频风冷无霜大容量智能电 BCD-443WKPZM(E) 深空蓝,3499,1,"自营,厂商配送",https://item.jd.com/100051928995.html
志高（CHIGO）双门冰箱家用小型出租房宿舍双开门冷藏冷冻一级能效大容量办公室电二门微霜 92A162D【一级能效 上冷藏3层下冷冻2抽屉】,678,2万+,"秒杀,免邮,赠",https://item.jd.com/10030700943547.html
新飞（Frestec） 冰箱小型双开门 迷你小冰箱家用宿舍租房冷藏冷冻电冰箱节能省电 30A108LS 双门【一级能效】银色,328,50万+,"券300-10,赠",https://item.jd.com/32924432574.html
海尔（Haier）178升两门二门双门冰箱节能低噪小型家用电冰箱迷你宿舍租房小巧不占地方以旧换新BCD-178TMPT,1059,200万+,自营,https://item.jd.com/100012312692.html
美的(Midea)冰箱212升三门家用冰箱小型宿舍租房节能低音冷藏冷冻电冰箱BCD-212TM炭灰月夜,1279,1万+,自营,https://item.jd.com/100039027906.html
康佳（KONKA）180升小冰箱 双门小型家用电冰箱 两门三温净味魔法盒LED顶置光源 低温补偿BCD-180GY2S,899,200万+,"自营,秒杀",https://item.jd.com/100030695186.html
冰箱金榜小鸭牌双开门,396,2万+,"自营,厂商配送",https://item.jd.com/100028715797.html
海信（Hisense）冰箱小型家用 电冰箱三开门 205升节能省电 迷你 小户型租房优选办公室 BCD-205YK1FQ以旧换新,1099,20万+,自营,https://item.jd.com/100007742233.html
新飞（Frestec） 冰箱小型双开门 迷你小冰箱家用宿舍租房冷藏冷冻电冰箱节能省电 58A118L双门【一级能效】银色,348,50万+,"京东物流,券300-10,赠",https://item.jd.com/27532871559.html
Haier/海尔冰箱双门小冰箱小型迷你家用家电超薄风冷无霜/直冷二门节能电冰箱 180升小型节能直冷180TMPS,1099,10万+,"京东物流,免邮",https://item.jd.com/31106890967.html
小鸭牌小冰箱迷你小型家用 冷藏冷冻宿舍办公室出租房双门电冰箱一级节能省电 一级能效-42L银【3天一度电】,308,20万+,"京东物流,券100-20",https://item.jd.com/65583414051.html
容声（Ronshen）206升三开门小冰箱中门软冷冻三温区保鲜节能低噪家用租房宿舍小巧不占地BCD-206D11N,1289,50万+,"自营,满1279-90",https://item.jd.com/100034391524.html
志高（CHIGO）小冰箱 38升双门宿舍租房家用冷藏冷冻双开门迷你电冰箱节能保鲜小BCD-38A118D银色,388,5000+,"自营,厂商配送",https://item.jd.com/100028911019.html
美菱(MELING)160升两门小冰箱小型家用经济实用宿舍租房小巧不占地冷藏冷冻BCD-160LCD节能低音,999,10万+,自营,https://item.jd.com/100032727904.html
夏新（Amoi）小冰箱迷你双门 冷藏冷冻小型租房宿舍电冰箱 节能省电低噪 一级能效/43L银【1-2人使用】,303,20万+,"京东物流,秒杀,券99-5",https://item.jd.com/10033142570208.html
海尔（Haier）冰箱小型双开门三开门小冰箱家用家电超薄风冷无霜/节能直冷迷你DEO净味保鲜二门智能电 180升节能直冷小型180TMPS,1098.9,10万+,"京东物流,秒杀,免邮,券8888-88,赠",https://item.jd.com/48198733702.html
康佳【KONKA】210升小冰箱 三门家用小型电冰箱 三门三温区中门软冷冻 节能低音 低温补偿BCD-210GB3S,949,200万+,自营,https://item.jd.com/100014808916.html
新飞（Frestec）三门小冰箱家用宿舍小型冰箱办公室冷藏冷冻电冰箱三门节能保鲜 三门108【节能省电款】,568,5000+,"京东物流,秒杀,赠",https://item.jd.com/10031919058989.html
【海尔旗舰店】海尔银河系列405升十字对开门一级能效多门冰箱,3599,2万+,,https://item.jd.com/10032425251167.html
康佳（KONKA）155升双门小冰箱 两天约一度电 小型宿舍租房家用 节能低噪电冰箱（白色）BCD-155C2GBU,789,200万+,自营,https://item.jd.com/6790737.html
美的(Midea) 213升三门三温区租房家用小电冰箱大容量中门软冷冻节能省电低音BCD-213TM(E)以旧换新,1298,50万+,"自营,满1200-50",https://item.jd.com/6559653.html
志高（CHIGO）冰箱双门迷你小型电冰箱 家用租房冷藏冷冻 节能低噪 38L星光银【1-2人使用】,378,5万+,"京东物流,券100-10",https://item.jd.com/30939256684.html
创维(SKYWORTH)118升冰箱小型 双门两门电冰箱 家用宿舍租户 迷你型冷藏冷冻 节能降噪 BCD-118炫银,659,50万+,"自营,新品",https://item.jd.com/100041123670.html
海尔（Haier）冰箱 467升一级能效双变频风冷无霜十字对开门四开门多门家用超薄省电大容量电,3799,5000+,"自营,厂商配送",https://item.jd.com/100021168937.html
美菱(MELING)【离子净系列】412升变频十字四对开门冰箱箱体60厘米家用风冷净味BCD-412WP9CX超薄嵌入,2299,5万+,"自营,满2299-100",https://item.jd.com/100026645868.html
容声（Ronshen）【离子净味】529升变频一级能效对开门双开门冰箱家用无霜除菌BCD-529WD18HP超薄可嵌入大容量,3099,50万+,"自营,每满1000-100,赠",https://item.jd.com/100035652971.html
美的(Midea)230升变频一级能效三门家用小型冰箱小冰箱节能低噪京东小家智能家电BCD-230WTPZM(E),2099,20万+,"自营,厂商配送,满2000-200",https://item.jd.com/100015205324.html
美菱(MELING)210升三门小冰箱三温区中门软冷冻家用宿舍租房实用小巧不占地节能低音BCD-210L3CX,1249,10万+,自营,https://item.jd.com/100008260476.html
海尔（Haier）冰箱十字对开门多门四门 一级能效风冷无霜电冰箱405升母婴超薄智能双变频 BCD-405WLHTDEDS9U1,3499,500+,"自营,厂商配送",https://item.jd.com/100040931216.html
美的(Midea)468升冰箱对开门风冷无霜家用囤货一级双变频超薄双开门电冰箱智能家电PT净味大容量 BCD-468WKPZM(E),2899,2万+,"京东物流,放心购,免邮,满2800-300",https://item.jd.com/10047145448266.html
康佳（KONKA）102升小冰箱迷你双门 冷藏冷冻小型租房宿舍两门电冰箱 节能省电低噪BCD-102S网红,629,200万+,自营,https://item.jd.com/900616.html
美的(Midea) 慧鲜系列480升变频一级能效十字四开门双开对开门风冷超薄大容量囤货家用智能 BCD-480WSPZM(E)榭湖银,3599,2000+,"自营,满3539-500",https://item.jd.com/10067229445713.html
夏新（Amoi）小冰箱 43升迷你双门 冷藏冷冻小型租房宿舍电冰箱 节能省电低噪 一级能效BCD-43A128L,346,5000+,自营,https://item.jd.com/100044554263.html
美菱(MELING)【鲜食尚系列】202升双门小型电冰箱家用风冷无霜节能低噪净味租房宿舍经济BCD-202WECX,1499,10万+,自营,https://item.jd.com/100022678224.html
海尔（Haier）180升冰箱双开两门 家用租房小型节能省电 深冷速冻BCD-180TMPS 金色,1099,5000+,"自营,厂商配送",https://item.jd.com/100011449143.html
西门子(SIEMENS) 279升 风冷双门冰箱 全无霜 多维出风 电脑控温 LED内显（白色）KG29NV220C,3299,5万+,"自营,每满1000-100",https://item.jd.com/4585391.html
新飞（Frestec）310升超薄法式上对开多门冰箱 多维风冷养鲜电冰箱 BCD-310WK7AT,1799,2万+,"自营,赠",https://item.jd.com/100006491295.html
美的(Midea)三门小型家用冰箱风冷无霜小冰箱BCD-247WTM(E)全温区变温247升家电节能低噪,1999,10万+,"自营,满1000-100",https://item.jd.com/100008739195.html
西门子(SIEMENS) 484升 变频混冷多门四门大容量家用冰箱 精细分类 白色 以旧换新BCD-484W(KM48EA20TI),6599,5万+,"自营,每满1000-100,赠",https://item.jd.com/2739568.html
新飞（Frestec） 冰箱小型双开门 迷你小冰箱家用宿舍租房冷藏冷冻电冰箱节能省电 76A128L双门【一级能效】银色,408,50万+,"京东物流,券300-10",https://item.jd.com/32920243165.html
海尔(Haier)立式冰柜家用风冷无霜冷藏冷冻柜母婴母乳储存抽屉分储冰箱 BD-191WGHES,2899,2000+,"自营,厂商配送",https://item.jd.com/100032254923.html
容声（Ronshen）【离子净味】645升对开门双开门电冰箱家用一级变频风冷无霜智能大容量BCD-645WD18HPA主动除菌,3498,50万+,"自营,秒杀,赠",https://item.jd.com/100017826730.html
华凌冰箱213升三门冰箱二级能效节能低音三门三温低温补偿冰箱小型家用冷冻冷藏小BCD-213TH,999,50万+,"自营,秒杀",https://item.jd.com/100035415234.html
容声（Ronshen）【离子净味】465升变频一级能效十字对开门四门冰箱家用无霜除菌BCD-465WD18FP超薄嵌入大容量,3199,20万+,"自营,秒杀,满3000-200,赠",https://item.jd.com/100035753586.html
美的（Midea）402升多门冰箱法式四开门一级能效超薄智能无霜家用大容量电BCD-402WFPZM(E)京东小家,3599,5万+,"自营,满3500-300",https://item.jd.com/100033710358.html
康佳（KONKA）118升小冰箱迷你双门 冷藏冷冻小型租房宿舍两门电冰箱 节能省电低噪BCD-118GB2S时尚白色,699,200万+,自营,https://item.jd.com/100021111356.html
海尔（Haier）冰箱180升双开两门 家用租房小型节能省电 深冷速冻BCD-180TMPS,1099,1万+,"自营,厂商配送",https://item.jd.com/100037288041.html
海信（Hisense）冰箱小型家用 电冰箱三开门 251升一级能效风冷无霜 节能租房用双变频BCD-251WYK1DPJ电脑控温,1799,5万+,"自营,新品,赠",https://item.jd.com/100043061287.html
统帅（Leader）海尔出品342升法式四门多门一级能效双变频风冷无霜超薄家用电 BCD-342WLLFDD9S9,2699,5万+,"自营,满1000-100",https://item.jd.com/100020235571.html
创维（SKYWORTH）【四维鲜净系列】419升风冷十字对开门四开门家用电冰箱一级能效变频BCD-419WXPS(N),2069,5万+,"自营,秒杀,券1000-100",https://item.jd.com/100026040874.html
美的(Midea)176升小型两门双开门家用小电冰箱自动低温补偿节能低音持久锁冷BCD-176CM 榭湖银,1199,5000+,自营,https://item.jd.com/10047243942253.html
美的(Midea)555升冰箱双开门 对开门一级变频风冷无霜超薄超大容量家用囤货智能家电 BCD-555WKPZM(E),3069,1000+,"自营,满3059-270",https://item.jd.com/10058234595596.html
志高（CHIGO）双门冰箱家用小型出租房宿舍双开门冷藏冷冻一级能效大容量办公室电二门 BCD-92A162D银色,698,200+,"自营,厂商配送",https://item.jd.com/100047884183.html
海尔(Haier)190升风冷无霜两门冰箱双门小型迷你家用净味彩晶玻璃宿舍租房小型BCD-190WDCO,1699,200万+,自营,https://item.jd.com/100011449298.html
海尔（Haier）409升零距离自由嵌入式四开门多门零嵌冰箱一级能效无霜净味BCD-409WLHFD4DB8U1底部前置散热超薄,5099,50万+,"自营,品质认证,满2000-100,赠",https://item.jd.com/100035107290.html
西门子(SIEMENS) 478升 变频混冷十字双开门四开门家用冰箱 大容量 以旧换新KM47EA16TI拉丝银,5490,2万+,"自营,每满1000-100,赠",https://item.jd.com/100000826819.html
TCL 408升分区养鲜超薄十字对开四开多门冰箱 智能一级能效 风冷无霜 京东小家家用电BCD-408WPJD,2299,20万+,"自营,满2200-100",https://item.jd.com/100033246688.html
京品家电容声（Ronshen）【离子净味】456升变频一级能效法式多门四开门家用无霜超薄大容量BCD-456WD18MP母婴变温,3799,20万+,"自营,满3700-500,赠",https://item.jd.com/100017571347.html
美的(Midea)215升大容量三门三温超薄小户型租房家用宿舍节能保鲜省电低音软冷冻三开门小 BCD-215TM榭湖银,1358,1万+,自营,https://item.jd.com/10047243029338.html
美的(Midea)172升双门小冰箱租房宿舍低音小型节能家用省电可冷藏冷冻低温补偿深冷速冻 BCD-172CM(E),1099,10万+,"自营,每满1000-70",https://item.jd.com/100012789852.html
美菱(MELING)【离子净系列】629升一级变频双开门对开两门电冰箱家用风冷无霜BCD-629WPUCX大容量存储,2799,5万+,"自营,满2799-100",https://item.jd.com/100012948952.html
海尔（Haier）137升 两门冰箱双门家用小型迷你双门宿舍租房办公室小巧不占地方以旧换新BCD-137TMPF,919,200万+,"自营,赠",https://item.jd.com/3022388.html
三星（SAMSUNG）545升冰箱双开门 对开门风冷无霜 家用电冰箱二门 全环绕气流 智能变频 RS55N3003SA/SC 银,3299,1万+,自营,https://item.jd.com/100014415790.html
TCL 316升V7法式养鲜冰箱四门分区养鲜冰箱 一级变频+超薄嵌入+33轻音分贝+AAT负离子养鲜 316升变频一级能效,2199,5000+,"自营,满2198-100",https://item.jd.com/10028681823963.html
日普（RIPU）三门冰箱家用宿舍租房办公室用节能三开门小冰箱一级能效大容量 BCD-182C238D 银,898,2000+,"自营,厂商配送",https://item.jd.com/100036151747.html
京品家电容声（Ronshen）离子净味Pro 452升变频一级能效十字对开门四开门冰箱家用无霜超薄嵌入式BCD-452WD12FP双循环,3999,10万+,"自营,满3700-500,赠",https://item.jd.com/100012689430.html
容声（Ronshen）175升双门两门小冰箱家用小型节能租房宿舍实用小巧不占地双温区保鲜BCD-175D16D自动低温补偿,1049,50万+,"自营,满1000-50",https://item.jd.com/100007618984.html
美的（Midea）60厘米薄系列424升法式五门多门超薄嵌入大容量家用智能电冰箱无霜一级变频BCD-424WFPZM(E)白色,6599,2万+,"自营,券1500-120,满5000-400",https://item.jd.com/100041814745.html
海尔（Haier）冰箱三开门超薄小型迷你家用大容量家电智能节能干湿分储DEO净味保鲜三门电小 218升三开门节能直冷218STPS,1298.9,10万+,"京东物流,秒杀,免邮,券8888-88,赠",https://item.jd.com/67666311784.html
西门子(SIEMENS) 502升变频无霜双开对开门家用冰箱大容量超薄嵌入白色以旧换新BCD-502W(KA50NE20TI),5490,10万+,"自营,品质认证,每满1000-100,赠",https://item.jd.com/100004013943.html
容声（Ronshen）608升对开门冰箱一级双变频风冷无霜离子净味水润自然风节能BCD-608WD18HP容声592升升级款,2999,5000+,"自营,厂商配送",https://item.jd.com/100041905101.html
容声（Ronshen）【离子净味】325升法式多门四开门电冰箱家用一级变频节能无霜变温超薄嵌入式BCD-325WD16MP,3099,20万+,"自营,每满1000-100,赠",https://item.jd.com/100012954794.html
美的（Midea）606升一级能效双变频对开双开门家用电冰箱京东小家风冷无霜BCD-606WKPZM(E)超薄大容量净味,3099,20万+,"自营,满3000-100",https://item.jd.com/100007418435.html
营】容声冰箱432升四开门十字门对开门冰箱一级能效双变频双循环风冷无霜大容量家用 432升级-星蕴色+干湿分储+全空间净化除菌除异味,3189,2000+,"秒杀,满3189-401",https://item.jd.com/10055938815400.html
容声（Ronshen）【离子净味】536升双变频冰箱双开门对开门家用风冷无霜大容量BCD-536WD18HP超薄嵌入节能净味,2899,50万+,"自营,满2600-300,赠",https://item.jd.com/100012662132.html
康佳（KONKA）京品家电 家用电冰箱双开门172L两门冷藏冷冻超薄宿舍租房小型迷你小 以旧换新,1598,1000+,"秒杀,免邮,满1500-820",https://item.jd.com/61549275002.html
海尔（Haier）冰箱双开门272升 双循环变频 风冷无霜 一体式显示屏 冰箱BCD-272WDCI,2799,1000+,"自营,厂商配送",https://item.jd.com/100011109787.html
西门子(SIEMENS) 481升变频混冷无霜十字双开门四开门家用冰箱双循环精细分类白色以旧换新KM49EA20TI,5490,5000+,"自营,每满1000-100,赠",https://item.jd.com/100036822029.html
Leader海尔统帅 218升三门三温区租房家用小型电冰箱中门软冷冻超薄小冰箱 BCD-218LLC3E0C9,1149,10万+,"自营,满100-50",https://item.jd.com/100016340200.html
海尔（Haier）501升全空间保鲜科技零距离自由嵌入式四开多门家用零嵌变频BCD-501WGHFD14S8U1底部散热超薄,7999,50万+,"自营,品质认证,满2000-100,赠",https://item.jd.com/100034329116.html
志高（CHIGO）58L冰箱双门迷你小型电冰箱 家用租房冷藏冷冻 节能低噪星光银,479,500+,"自营,秒杀,满300-30",https://item.jd.com/100045119323.html
日普（RIPU）三门冰箱家用宿舍租房办公室用节能三开门小冰箱一级能效大容量 BCD-136A206D银色,758,2000+,自营,https://item.jd.com/100036151713.html
华凌471升对开门双开门家用超薄冰箱 一级能效双变频风冷无霜纤薄机身节能省电智能电BCD-471WKPZH,2199,2万+,"自营,每满2198-100",https://item.jd.com/100034965962.html
统帅（Leader） 海尔出品 169升两门双门风冷无霜电冰箱小型租房家用小冰箱净味双开门BCD-169WLDPD,1299,2万+,自营,https://item.jd.com/100004077689.html
京品家电美的（Midea）60厘米薄系列485升十字双开门四门超薄嵌入大容量家用智能一级变频BCD-485WSPZM(E)厨装一体,6499,2万+,"自营,品质认证,券1500-120,",https://item.jd.com/100022219333.html
统帅（Leader） 海尔出品 477升对开门家用冰箱风冷无霜变频超薄电冰箱超大容量BCD-477WLLSSD0S9U1,2499,5万+,"自营,满1000-100",https://item.jd.com/100021984162.html
上菱 183升双门小冰箱 二门 小型家用双开门小户型电冰箱 出租房宿舍办公室 以旧换新 BCD-183D,849,5000+,"自营,券4000-400",https://item.jd.com/100038450100.html
买冰箱别错过！海尔335升一级双变频智能风冷无霜冰箱银河系列,3099,2万+,,https://item.jd.com/10028423841495.html
云米(VIOMI)535L超薄电冰箱双开门大容量自营京东小家智能生态变频节能风冷无霜BCD-535WMSAD04,1999,2000+,"自营,券3000-300,赠",https://item.jd.com/100037715921.html
美的（Midea）慧鲜523升一级变频十字对开双开门多门超薄家用电冰箱京东小家智能家电BCD-523WSPZM(E)超大容量,3699,20万+,"自营,秒杀,满3600-100",https://item.jd.com/100011151637.html
日普（RIPU）三门冰箱家用宿舍租房办公室用节能三开门小冰箱一级能效大容量 BCD-78A152D 银,598,2000+,自营,https://item.jd.com/100036151715.html
云米410升家用十字对开门冰箱杀菌净味超大容量风冷无霜保鲜变频BCD-410WMSAZ02A,1999,1万+,"自营,券1900-100,赠",https://item.jd.com/100014806210.html
日普（RIPU）三门冰箱家用宿舍租房办公室用节能三开门小冰箱一级能效大容量 BCD-182C238D 银,898,2000+,自营,https://item.jd.com/100036151747.html
小鸭牌三开门冰箱家用冰箱78升多门小型迷你租房宿舍电冰箱节能软冷冻冷冻冷藏三门BCD-78A152B,578,1万+,"自营,厂商配送",https://item.jd.com/100041920095.html
容声（Ronshen）【水蓝光系列】520升变频一级能效法式多门四开门家用无霜双循环大容量除菌BCD-520WD17MP,6099,5万+,"自营,满5000-1500,赠",https://item.jd.com/100017685058.html
TCL 118升双门养鲜冰箱均匀制冷低音环保小型电冰箱LED照明迷你租房节能冰箱BCD-118KA9芭蕾白,769,50万+,自营,https://item.jd.com/1787111.html
京品家电西门子(SIEMENS) 630升精控恒鲜一级能效变频对开双开门家用冰箱大容量白色以旧换新630W(KX63EA20TI),10499,1万+,"自营,每满1000-100,赠",https://item.jd.com/100018400606.html
容声(Ronshen)【御宴系列】508升变频一级能效十字对开门四门冰箱家用风冷大容量BCD-508WVS1FPGA玻璃双循环,8099,1000+,自营,https://item.jd.com/100044961079.html
新飞（Frestec）183升双门冷冻速度快小冰箱迷你经济实用节能环保低噪小型两门 BCD-183KT,899,5万+,自营,https://item.jd.com/100017448759.html
志高（CHIGO）三开门冰箱家用小型宿舍租房办公室大容量电冰箱冷藏软冷冻保鲜三门 BCD-78A152D 金色,698,200+,"自营,厂商配送",https://item.jd.com/100047884189.html
京品家电西门子(SIEMENS) 500升变频对开双开门大容量家用冰箱超薄嵌入式旋转制冰银色以旧换新KX50NA41TI,5290,5万+,"自营,每满1000-100,赠",https://item.jd.com/100007119438.html
京品家电海尔（Haier）545升星蕴系列一级能效十字双开对开门四开门家用电冰箱母婴超薄BCD-545WFPB超大容量精细分储,4699,50万+,"自营,满2000-100,赠",https://item.jd.com/100012645766.html
容声(Ronshen)646升双开门冰箱对开门一级能效风冷无霜家用变频双门电冰箱大容量对开门 BCD-646WD11HPA,3499,2万+,"自营,满3490-700",https://item.jd.com/10029958174752.html
云米（VIOMI）598升超薄大容量对开门电冰箱双开门自营风冷无霜双一级能效变频省电BCD-598WMSA,2299,2万+,"自营,券2000-200,赠",https://item.jd.com/100006377581.html
松下（Panasonic）265升家用三门冰箱 60cm超薄小 自由嵌入式 银离子kang菌 风冷无霜 磨砂白色NR-EC26WPA-W,2790,5万+,"自营,赠",https://item.jd.com/100018512400.html
荣事达（Royalstar）192升冰箱三门家用大容量中门软冷冻节能低噪保鲜小型电冰箱 192升【三门节能】家用推荐,898,1000+,,https://item.jd.com/10063905402077.html
海信（Hisense）冰箱小型家用 电冰箱三开门 252升一级能效风冷无霜双变频 小户型 BCD-252WYK1DPUJ三温精储,2099,5万+,"自营,满1900-200,赠",https://item.jd.com/100016566495.html
TCL 520升双变频风冷无霜对开双开门电冰箱 WIFI智控 双温区双循环 超薄家用大容量BCD-520WPJD,2199,20万+,"自营,满1000-100",https://item.jd.com/100012371498.html
TCL 260升三门负离子养鲜冰箱一体式双变频+风冷无霜+一级能效+节能低音+智慧送风三温区三循环 260升变频一级能效 鲜活三门,1899,1000+,"自营,满1898-100",https://item.jd.com/10053557318796.html
松下(Panasonic)303升家用三门冰箱京小家智能生态一级能效 自动制冰 风冷无霜 磨砂白色NR-JS30AX1-W,3990,2万+,"自营,赠",https://item.jd.com/100007742413.html
华凌239升 三门风冷免除霜一级能效双变频PT净味电脑控温智能NFC双循环电冰箱 家电智能BCD-239WTPZH,1799,1万+,自营,https://item.jd.com/100017563158.html
荣事达（Royalstar）58L冰箱小型家用迷你宿舍,378,50万+,,https://item.jd.com/10020142076072.html
美的（Midea）550升变频一级能效对开双开门超薄家用电冰箱智能京东小家无霜净味BCD-550WKPZM(E）嵌入大容量,2999,20万+,"自营,满2000-200",https://item.jd.com/100024119074.html
