商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
万和（Vanward）16升燃气热水器天然气感温水气双调精控恒温智能防冻保护6重健康浴JSQ30-520J16,1599,20万+,,"自营,满1400-400",https://item.jd.com/7336445.html,(12万+),(400+),(400+),98%
海尔（Haier）电热水器电60升一级能效家用洗澡2200W速热储水式节能省电上门安装防电墙DK1 60升,1049,1万+,,每满1040-100,https://item.jd.com/10050095323790.html,(6500+),(10+),(10+),99%
美的热水器 储水式电热水器电一级节能大水量小厨宝套装速热安全防电墙智能家电APP上门安装以旧换新J7 60升漏电断电大水量【3-4人】,1149,2万+,,"京东物流,免邮,每满1140-150,赠",https://item.jd.com/10030658142663.html,(1.3万+),(60+),(60+),98%
美的（Midea）16升燃气热水器 水气双调 天然气 ECO节能 四季恒温洗 无极变升 多重安防 LED大屏JSQ30-HWA,1148,100万+,,"自营,满500-100,赠",https://item.jd.com/100003407023.html,(46万+),(1700+),(1700+),98%
包安装?海尔300升空气能热水器家用一级能效银离子滤菌,8599,2000+,,自营,https://item.jd.com/100033106168.html,(1700+),0,0,99%
樱花（SAKURA）燃气热水器天然气智能精控恒温直流变频降噪触控强排式低压启动多重安全防护宽幅调温 JSQ25-NJP007A【升级防冻】13L天然气,1599,1000+,,"自营,券3000-100,满1350-200",https://item.jd.com/10052535773438.html,(600+),-6,-6,97%
美的燃气热水器天然气即热式恒温家用速热变频节能开机自检安全强排式上门安装以旧换新RS2 【黄金16升】超高性价比 8年整机包修,1699,1万+,,"京东物流,满1499-250,赠",https://item.jd.com/10045581342719.html,(7000+),(10+),(10+),99%
万家乐 16升燃气热水器佛山标准产品家用天然气恒温水气双调四季随温感智能节能SUR增容JSQ30-16D5S(F),1098,50万+,,"自营,秒杀,满1149-50,赠",https://item.jd.com/100023160754.html,(29万+),(1500+),(1500+),98%
海尔（Haier）燃气热水器燃气天然气变频智能恒温家用即热强排式水气双调低压启动大屏防冻UTS 【UTS】12升 ECO节能+智能安防【一厨一卫】,1299,1万+,,"免邮,满999-550",https://item.jd.com/67286338416.html,(7000+),(20+),(20+),99%
万家乐16升燃气热水器零冷水一级能效冷凝式天然气佛山标准增压京东小家智控JSLQ27-16DLU3【金榜爆品】,1999,50万+,,"自营,满1999-50",https://item.jd.com/100018516086.html,(29万+),(1500+),(1500+),98%
迅达（XUNDA）燃气热水器12升家用壁挂炉强排式智能恒温热水器安静低噪多重安全保护上门安装DS801天然气,798,2000+,,自营,https://item.jd.com/100013309182.html,(1200+),-4,-4,99%
美的（Midea）12升燃气热水器 水气双调 天然气 ECO超节能 智能恒温洗 无极变升 多重安防 LED大屏JSQ22-HWA,848,50万+,,"自营,满500-100,赠",https://item.jd.com/100002076057.html,(46万+),(2500+),(2500+),98%
美的（Midea）出品电热水器家用速热60升卫生间50升储水式80升恒温节能40升热水器上门安装 美的出品华凌40升Y1【1-2人洗】,569,1万+,,"京东物流,免邮,每满568-50",https://item.jd.com/10054979985080.html,(4100+),(30+),(30+),96%
海尔（Haier）12升燃气热水器天然气水气双调恒温五重净化健康ECO节能开机自检多重安防家用JSQ22-12UTS(12T),849,100万+,,"自营,满500-100",https://item.jd.com/100007971782.html,(56万+),(1900+),(1900+),99%
美的（Midea）热水器2100W速热安全耐用小体积 双重杀菌 升级加长防电墙全屋漏电预警40升电F40-21WA1,629,100万+,,自营,https://item.jd.com/1717329.html,(80万+),(6200+),(6200+),98%
万家乐 12升燃气热水器(天然气）佛山标准产品智能精控恒温断电记忆多重安全防护 JSQ24-D13【行业爆品】,749,50万+,,自营,https://item.jd.com/2830894.html,(27万+),(1400+),(1400+),98%
希尔史密斯储水式电热水器电家用卫生间速热恒温租房小型热水器洗澡淋浴器2000w DSZF-40 50升出水断电款,628,1000+,,"自营,厂商配送",https://item.jd.com/100045119525.html,(400+),-5,-5,96%
美的（Midea）热水器2200W速热WIFI智控低耗节能72小时保温6重安防60升储水式电F6022-M3(H),859,100万+,,"自营,新品,每满800-50",https://item.jd.com/100041054590.html,(60万+),(2400+),(2400+),98%
美的（Midea）热水器2200W速热WIFI智控一级能效ECO节能72小时保温6重安防50升储水式电F5022-JM1(HE),949,50万+,,"自营,每满800-50,赠",https://item.jd.com/100019884977.html,(43万+),(1400+),(1400+),98%
奥克斯（AUX）燃气热水器精准恒温强排式速热洗澡家用燃气智能变升水气双调多重安全防护 12升天然气|变频恒温|智能变升|装阳台厨房,599,2万+,,京东物流,https://item.jd.com/10024982481552.html,(1万+),(30+),(30+),98%
海信(Hisense)60升电热水器速热5.5倍增容健康灭菌大屏触控家用节能省电多重安全DC60-W1513T,695,5万+,,"自营,秒杀,赠",https://item.jd.com/100031357624.html,(2.5万+),(70+),(70+),98%
【变频速热.多重防护】速热电热水器一级能效十年质保40升,599,1万+,,"自营,厂商配送",https://item.jd.com/100038309933.html,(7200+),(50+),(50+),97%
万和（Vanward）12升燃气热水器 天然气家用 双重防冻 智能变频恒温【行业爆品】无级变升 JSQ24-220J12,749,20万+,,自营,https://item.jd.com/5083662.html,(20万+),(800+),(800+),98%
志高（CHIGO）热水器电家用洗澡储水式2000W速热安全节能DSZF-40LP彩屏圆桶数显款,379,2000+,,,https://item.jd.com/100044811915.html,(2100+),-8,-8,98%
海尔（Haier）燃气热水器天然气家用恒温强排式节能省气即热洗澡智能大屏变频风机专利防冻上门安装 【统帅LY】12升 APP智能+大屏操控+五重净化,749,1万+,,满749-100,https://item.jd.com/10034265074320.html,(4100+),(20+),(20+),98%
TCL 即热式电热水器电家用卫生间加热器速热洗澡器小型淋浴加热宝即开即热快速加热恒温洗澡机免储水 香槟金标准款【6000W+配件礼包】,458,20万+,,"京东物流,券300-30,满200-30",https://item.jd.com/42371425144.html,(4.4万+),(600+),(600+),95%
美的（Midea）热水器2200W速热WIFI智控低耗节能72小时保温6重安防50升储水式电F5022-M3(H),809,100万+,,"自营,新品,每满800-50",https://item.jd.com/100041054610.html,(60万+),(2400+),(2400+),98%
万家乐【广东隔日达】燃气热水器家用液化气6升7升8升10升电池款煤 6升电池款+铜水箱(煤气液化气罐),257,100+,,新品,https://item.jd.com/10067597637663.html,(10+),-1,-1,92%
万和（Vanward）14升燃气热水器京品家电天然气家用智能恒温节能自适温智水气双变频JSQ27-521J14【金榜爆品】,1549,20万+,,"自营,满1100-500",https://item.jd.com/100011596110.html,(19万+),(700+),(700+),98%
美的（Midea）热水器2100W速热安全耐用小体积升级加长防电墙全屋漏电预警50升储水式电F50-21WA1,679,100万+,,自营,https://item.jd.com/1717333.html,(80万+),(6200+),(6200+),98%
万家乐 16升燃气热水器佛山标准产品京东小家智能 双增压零冷水天然气WIFI智控JSQ30-16DL1【京榜爆品】,1549,50万+,,"自营,满1549-50,赠",https://item.jd.com/100022021570.html,(29万+),(1500+),(1500+),98%
美的（Midea）16升燃气热水器 天然气 超一级能效 智控水伺服 家用省气 恒温节能 JSLQ27-16LN1影墨 以旧换新,2399,20万+,,"自营,每满2000-200,赠",https://item.jd.com/100047400103.html,(22万+),(1100+),(1100+),98%
美的储水式电热水器电多升数可选变频节能速热家用电器出水断电大水量一级能效V7S 智能黑科技【60升3-4人洗】,1899,5000+,,"自营,每满1899-400",https://item.jd.com/10047353732133.html,(3200+),(10+),(10+),98%
夏佐史密斯电热水器 家用50升L扁桶储水式 2000W超薄机身出水断电双内胆速热洗澡淋浴机BD03,679,2000+,,"自营,厂商配送",https://item.jd.com/100038302537.html,(1300+),-2,-2,98%
万和（Vanward） 16升零冷水燃气热水器佛山标准产品水气双调一级能效冷凝式天然气增压LS5W16【金榜爆品】,2199,10万+,,"自营,满2000-300",https://item.jd.com/100007370977.html,(6.4万+),(200+),(200+),98%
樱花(SAKURA)13升燃气热水器 日本CPU触控大屏智控恒温 天然气 JSQ25-JJP002,1199,5万+,,"自营,券2580-120,满1000-100",https://item.jd.com/100022578933.html,(1.6万+),(200+),(200+),96%
万和（Vanward）燃气热水器燃气天然气家用恒温16升 变频节能健康浴防冻 【5W+销量推荐】一厨两卫16升 省气20% 天然气,1699,5万+,,"京东物流,免邮,券999-100,",https://item.jd.com/67254300191.html,(2.7万+),(60+),(60+),99%
海信(Hisense)60升电热水器变频速热一级能效健康灭菌智能WIFI水质水量监测净彩ES60-C501i,1295,5万+,,"自营,秒杀,每满1200-400,赠",https://item.jd.com/100039032341.html,(2.5万+),(70+),(70+),98%
希尔史密斯热水器电热水器2000W家用卫生间洗澡储水式40升圆桶小户型一级能效出租房小尺寸上门安装出水断电,464,1000+,,新品,https://item.jd.com/100049264903.html,(300+),-1,-1,99%
万和(Vanward) 40升电热水器家用速热恒温储水式专利防电墙双盾防护2000W安全节能【企业专享】,449,1000+,,"自营,厂商配送",https://item.jd.com/100047758393.html,(400+),0,0,99%
万和（Vanward)燃气热水器天然气家用四重防冻直流变频节能全新升级增压水伺服恒温高抗风 JSQ30-565W16【16升】【恒温旗舰款】,1799,2万+,,"自营,每满1799-500",https://item.jd.com/10044060351752.html,(1.4万+),(50+),(50+),98%
希尔史密斯热水器2000W速热一级能效40升储水式安全耐用小体积防电墙全屋漏电预警电DX-401 40L,458,1万+,,,https://item.jd.com/100040508805.html,(7200+),(50+),(50+),97%
美的热水器 家用储水式电热水器电 节能省电安全速热 漏水换新 双重防漏电防电墙卫生间租房15A3系列 F80-15A3(HI)【80升 4人以上适用】,1049,10万+,,"京东物流,免邮,每满1040-120",https://item.jd.com/10036624198437.html,(10万+),(400+),(400+),98%
史密斯 16升燃气热水器 不锈钢换热器更耐用 负压更安全 恒温大水量 家用JSQ31-TM5,2998,5万+,,"自营,秒杀,券10-1",https://item.jd.com/100031563676.html,(3.1万+),(40+),(40+),99%
美的（Midea）16升燃气热水器智能恒温强排式热水器家用节能省气6重安防APP天然气TC5新升级 【变频恒温 -新升级款】13升,1048,5000+,,自营,https://item.jd.com/10042633592951.html,(3000+),(10+),(10+),98%
美的热水器 储水式电热水器电 家用卫生间2000W速热ECO节能省电 安全防护智能数显杀菌 X0系列 【40升适用1-2人】F4020-X0(H),849,2万+,,"京东物流,免邮,每满840-150,赠",https://item.jd.com/29994467956.html,(1.3万+),(60+),(60+),98%
万家乐 16升燃气热水器(天然气) 四驱恒温水气双调 智能变升 ECO节能 四季随温感 JSQ30-D5【榜单爆品】,1199,10万+,,"自营,满1149-50",https://item.jd.com/8776551.html,(5.2万+),(100+),(100+),99%
万家乐 13升燃气热水器(天然气) 四驱恒温水气双调智能变升ECO节能 四季随温感 浴缸水满智提醒JSQ26-D5,1099,10万+,,自营,https://item.jd.com/8776535.html,(5.2万+),(100+),(100+),99%
史密斯13升燃气热水器 不锈钢换热器更耐用 负压更安全 精控恒温 家用JSQ26-TM5,2798,5万+,,"自营,券10-1,满2000-100",https://item.jd.com/100017613821.html,(3.1万+),(40+),(40+),99%
志高（CHIGO）即热式电热水器 小厨宝即热热水器  省电家用集成淋浴洗澡免储水 防漏电 KBR-Y6S 0-5500W,288,20万+,,"自营,券1500-120",https://item.jd.com/100001689388.html,(10万+),(1100+),(1100+),97%
海尔（Haier）12升燃气热水器天然气水气双调恒温五重净化健康ECO节能开机自检多重安防家用JSQ22-12UTS(12T),849,100万+,,自营,https://item.jd.com/100007971782.html,(56万+),(1900+),(1900+),99%
海信（Hisense）50升电热水器5.5倍增容健康灭菌大屏触控速热节能省电防电墙防电闸安全DC50-W1513T,658,5万+,,"自营,秒杀,赠",https://item.jd.com/100031357598.html,(2.5万+),(70+),(70+),98%
厅和好太太（TingHeHaoTaiTai）热水器电热水器家用洗澡小型储水式热水器出租房扁桶 40升圆桶数显+出水断电+双防电墙 自行安装,308,1万+,,,https://item.jd.com/10060760695878.html,(2300+),(40+),(40+),94%
美的（Midea）13升水气双调智能家电恒温四季恒温洗 自动变升多重安防 LED大屏燃气天然气JSQ25-HWA,948,100万+,,"自营,满500-100,赠",https://item.jd.com/100003407025.html,(46万+),(1700+),(1700+),98%
美的热水器 储水式电热水器电一级节能大水量小厨宝套装速热安全防电墙智能家电APP上门安装以旧换新J7 50升漏电断电大水量【2-3人】,1099,2万+,,"京东物流,免邮,每满1090-150,赠",https://item.jd.com/10035599159929.html,(1.3万+),(60+),(60+),98%
美的储水式电热水器电60升大水量速热数显一级节能省电安全防电墙智能家电3-4人F6021-X1(S),1109,2万+,,"京东物流,免邮,每满1100-210",https://item.jd.com/11402542283.html,(1.2万+),(90+),(90+),98%
万和（Vanward）40升电热水器双防电盾 双重防护 温显型洗澡机E40-T4-22,449,50万+,,自营,https://item.jd.com/2228267.html,(60万+),(3700+),(3700+),98%
奥克斯（AUX）电热水器2100W节能速热二级能效防漏电出租房公寓圆桶长效保温 50升（2100W增容速热+双防电盾+上门安装） 内胆保用8年,519,5万+,,"京东物流,每满400-20",https://item.jd.com/12881313797.html,(3.4万+),(200+),(200+),97%
A.O.史密斯-佳尼特 家用电热水器60升 储水式双胆速热超薄 速热 短巧CTE-60HT1 金圭特护系统,3499,500+,,"京东物流,券3000-100,满3499-300",https://item.jd.com/10058287385097.html,(200+),0,0,99%
万和（Vanward）燃气热水器 家用 一键节能高达20% 智能自适温 变频恒温 私人订制模式 APP智控JSQ24-365T12【液化气】12升 66重安全防护,1098,5万+,,"京东物流,免邮,每满1098-349",https://item.jd.com/10036383473358.html,(1.9万+),(90+),(90+),98%
康家好太太【出水断电】热水器电家用洗澡双胆超薄速热出租房储水式热水器卫生间DSZF-40A 40升双胆数显款,328,5000+,,,https://item.jd.com/100040574263.html,(2700+),(10+),(10+),99%
海尔（Haier）12升燃气热水器天然气水气双调恒温WIFI智控专利双算法直流变频风机家用 JSQ22-12MODEL(12T)U1,999,100万+,,"自营,满800-200,赠",https://item.jd.com/100038580725.html,(56万+),(1900+),(1900+),99%
海尔（Haier）16升燃气热水器天然气无级变频水伺服恒温ECO节能静音降噪云智能家用 JSQ30-16MODEL5(12T)U1,1699,100万+,,"自营,每满1000-100,赠",https://item.jd.com/100029386247.html,(56万+),(1900+),(1900+),99%
美的储水式电热水器电家用数显一级节能家用安全加长防电墙智能家电手机智控X1 一级能效更省电 60升【3-4人洗】,1049,10万+,,"自营,每满1049-150",https://item.jd.com/35532939998.html,(4.8万+),(200+),(200+),98%
苏泊尔（SUPOR）燃气热水器13升智能变频恒温 家用天然气热水器 水气双调三档变升双防冻13R-DM32,799,1万+,,"自营,厂商配送,赠",https://item.jd.com/100050420591.html,(5300+),(50+),(50+),96%
美的（Midea）出品电热水器家用速热60升卫生间50升储水式80升恒温节能40升热水器上门安装 美的出品华凌60升WA1【1-3人洗】,689,1万+,,"京东物流,免邮,每满688-50",https://item.jd.com/10054979985082.html,(4100+),(30+),(30+),96%
奥克斯（AUX）电热水器2100W节能速热二级能效防漏电出租房公寓圆桶长效保温 40升（2100W增容速热+双防电盾+上门安装） 内胆保用8年,459,5万+,,每满400-20,https://item.jd.com/12881313798.html,(3.4万+),(200+),(200+),97%
?扁桶热水器行业TOP1?美的全免安装智能双胆速热10倍增容,2799,5万+,,自营,https://item.jd.com/100019063379.html,(3.1万+),(90+),(90+),98%
艾美特 （AIRMATE）即热式电热水器 家用速热式热水器热水宝 升级遥控恒温家用经济款 EH5502-A01黑色,278,1万+,,自营,https://item.jd.com/100043152685.html,(6900+),-1,-1,99%
海信（Hisense）80升热水器家用2100W速热高效节能卫生间小户型储水式安全防电墙DC80-W1311,749,5万+,,"自营,赠",https://item.jd.com/100015023742.html,(2.5万+),(70+),(70+),98%
海信(Hisense)60升电热水器速热增容健康灭菌WIFI智控家用一级能效卫生间安全防护DC60-W3210i,895,5万+,,"自营,秒杀,每满700-100,赠",https://item.jd.com/100011379681.html,(2.5万+),(70+),(70+),98%
万家乐 12升燃气热水器(天然气) 智能变升 双重净浴 低水压启动 高温儿童防烫锁JSQ24-12SP1,849,5000+,,自营,https://item.jd.com/100014647106.html,(3800+),(10+),(10+),98%
樱花（SAKURA）燃气热水器16升 水量伺服器 日本CPU 智能恒温 多重防护 天然气 JSQ30-SP601,2099,5万+,,"自营,券3880-220,满1000-100",https://item.jd.com/100039707003.html,(1.6万+),(200+),(200+),96%
康家好太太【出水断电】储水式电热水器电家用速热恒温洗澡租房热水器卫生间淋浴2000w DSZF-40A 40升数显款,280,5000+,,,https://item.jd.com/100040574233.html,(2700+),(10+),(10+),99%
华帝（VATTI）燃气热水器 天然气 气电双断防护 恒温强排 即热式热水器 防燃气泄漏保护 低水压启动 【一厨多卫】i12103-16升,1399,5000+,,"自营,券5-2",https://item.jd.com/10045304912645.html,(3400+),(10+),(10+),99%
美的（Midea）热水器电热水器3200W速热家用洗澡恒温储水式热水器节能省电漏电保护WB5摩卡金 60升丨3-4人推荐 厨卫电器,1049,2000+,,自营,https://item.jd.com/10039713594217.html,(1400+),(10+),(10+),98%
志高（CHIGO）即热式电热水器 快热式小厨宝 变频恒温 即热热水器快速即热 功率可调节厂送 ZG-KB510 5500W,349,20万+,,"自营,券1500-120",https://item.jd.com/100016724215.html,(9.4万+),(1100+),(1100+),96%
飞利浦（PHILIPS）即热式电热水器 电即热8500W速热无极变频智能恒温无胆免储水 淋浴洗澡双防电墙AWH1011/93,1399,5000+,,"自营,券1500-120,每满1399-300",https://item.jd.com/100028010076.html,(1800+),(10+),(10+),98%
海信(Hisense)60升电热水器变频速热一级能效健康灭菌智能WIFI水质水量监测净彩ES60-C501i,1295,5万+,,自营,https://item.jd.com/100039032341.html,(2.5万+),(70+),(70+),98%
华帝（VATTI）12升燃气热水器天然气节能省气智能恒温气电双断多重防冻低水压启动金色家用i12104-12,999,10万+,,自营,https://item.jd.com/100019092049.html,(4.2万+),(200+),(200+),98%
万家乐 13升燃气热水器京东小家智能 双增压增容零冷水天然气WIFI智控JSQ26-13DL1【佛山标准产品】,1449,50万+,,"自营,满1449-50,赠",https://item.jd.com/100024244028.html,(29万+),(1500+),(1500+),98%
史密斯.劳伦热水器电热水器电家用洗澡储水式60升扁桶一级能效速热 B28-60L,1099,1000+,,新品,https://item.jd.com/100048089487.html,(700+),-10,-10,97%
史密斯.劳伦热水器电热水器电家用洗澡储水式50升扁桶一级能效速热B28-50L,999,1000+,,新品,https://item.jd.com/100048089511.html,(700+),-10,-10,97%
万家乐 12升燃气热水器(液化气）佛山标准产品 智能精控恒温 断电记忆 多重安全防护 JSQ24-D13,749,50万+,,自营,https://item.jd.com/4904050.html,(27万+),(1400+),(1400+),98%
海尔（Haier）空气能热水器家用200升包安装 超一级能效WiFi80℃杀菌洗双变频超级节能效率500% J7 京东小家,6999,5000+,,自营,https://item.jd.com/100011051111.html,(6700+),-9,-9,99%
美的储水式电热水器家用安全出租房节能省电健康洗浴小型储水式洗澡A3加长防电墙 F60-15A3【60升 3-4人适用】,799,5万+,,"自营,每满799-70",https://item.jd.com/10035064977473.html,(2.3万+),(100+),(100+),98%
康家好太太【出水断电】储水式电热水器电家用速热恒温洗澡租房热水器卫生间淋浴2000w DSZF-50A 50升数显,328,5000+,,秒杀,https://item.jd.com/100040574237.html,(2700+),(10+),(10+),99%
创维（Skyworth）即热式电热水器 速热式家用小型恒温淋浴免打孔变频恒温加热宝即开即热D867白色3400w沐浴款,289,200+,,"自营,厂商配送,每满200-20",https://item.jd.com/100045468039.html,(60+),-4,-4,89%
希尔史密斯即热式电热水器家用小型厨房宝速热恒温免储水迷你热水宝租房卫生间洗澡神器5500w 黑色自行安装,328,5000+,,,https://item.jd.com/100040574127.html,(2400+),-6,-6,98%
万家乐 16升燃气热水器天然气全景屏玻璃面板恒温水量伺服器水温0波动智温感JSQ30-T8【佛山标准产品】,1549,10万+,,"自营,赠",https://item.jd.com/100011896038.html,(8.5万+),(300+),(300+),98%
万家乐电热水器扁桶60升储水式双胆3200W速热 预约洗澡 水量水温双显 智能记忆D60-DB1,1599,50万+,,自营,https://item.jd.com/100013272206.html,(33万+),(1500+),(1500+),98%
华帝（VATTI）16升燃气热水器天然气 家用即热式 全面玻璃屏 省气节能恒温 智能wifi 气电双断 i12152-16,1699,2万+,,自营,https://item.jd.com/100032777994.html,(1.4万+),(20+),(20+),99%
海尔（Haier）16升燃气热水器天然气超一级能效双增压零冷水水气双调恒温家用JSLQ27-16ECO-LU1 京东小家智能,2299,20万+,,"自营,每满1000-100,赠",https://item.jd.com/100029046906.html,(10万+),(400+),(400+),98%
阿里斯顿(ARISTON) 60升电热水器 双核速热 一级能效 家用节能即热式 银网健康速热J4 60 3QH AG,1098,5000+,,"自营,券1500-120",https://item.jd.com/100006485798.html,(1900+),(10+),(10+),96%
希尔史密斯热水器2000W速热一级能效60升储水式安全耐用小体积防电墙全屋漏电预警电DX-601 60L,635,1万+,,,https://item.jd.com/100040508777.html,(7200+),(50+),(50+),97%
京东京造 18升零冷水燃气热水器 天然气 智能变升恒温 即开即热 双变频循环增压 4重降噪轻音 APP智控,1499,1000+,,"自营,闪购",https://item.jd.com/100039188715.html,(500+),-7,-7,97%
希尔史密斯电热水器 扁桶储水式家用100升L 3000W超薄机身出水断电双内胆速热洗澡淋浴机B09D,1269,1万+,,"自营,厂商配送",https://item.jd.com/100037508483.html,(4100+),(40+),(40+),96%
史密斯.劳伦热水器电热水器家用洗澡扁桶一级能效大容量80升速热B31-80L,1499,500+,,"新品,满800-30",https://item.jd.com/100048092401.html,(300+),-2,-2,98%
志高（CHIGO）热水器电家用洗澡即热储水式出水断电大容量速热电热水器2200W安全节能租房用 普通数显款2000W+机械旋钮+三挡调节+自行安装 50升(2人),559,5万+,,京东物流,https://item.jd.com/10044022565058.html,(1.4万+),(100+),(100+),98%
史密斯16升燃气热水器 1级静音 8年整机质保 不锈钢换热器 恒温大水量 抗风防冻 JSQ31-TEW 以旧换新服务,4498,5万+,,"自营,券10-1,满3000-200",https://item.jd.com/100018475540.html,(3.1万+),(40+),(40+),99%
美的（Midea）16升燃气热水器天然气水伺服智控增压恒温ECO节能磁净化健康洗JSQ30-MK6,1849,20万+,,"自营,满1000-300,赠",https://item.jd.com/100040350131.html,(22万+),(1100+),(1100+),98%
樱花（SAKURA）12升燃气热水器 智能触控 低压启动 速热恒温 可抗强风 （液化气 ）JSQ23-L022,1199,5万+,,"自营,券2580-120,满1000-100",https://item.jd.com/100004856031.html,(1.6万+),(200+),(200+),96%
美的储水式电热水器电多升数可选变频节能速热家用电器出水断电大水量一级能效V7S 智能黑科技【60升3-4人洗】,1899,5000+,,自营,https://item.jd.com/10047353732133.html,(3200+),(10+),(10+),98%
万家乐【上门安装】家用燃气热水器6升8升10L洗澡煤气液化气强排 8升电池款+铜水箱(煤气液化气罐) 不包安装,347,200+,,,https://item.jd.com/10067597578491.html,(20+),-1,-1,90%
【免费上门安装】史密斯.劳伦热水器电热水器家用卫生间洗澡储水式扁桶双胆速热80升扁桶一级能效 扁桶双胆+普通数显+2000W加热+双防电墙 40升,599,10万+,,,https://item.jd.com/10035306667327.html,(3.4万+),(300+),(300+),97%
美的（Midea）出品电热水器家用洗澡防电墙保护速热储水式小型出租房热水器 美的出品comfee【40升 2100W】,549,2000+,,每满549-30,https://item.jd.com/10036115280032.html,(600+),-7,-7,97%
凯奇史密斯热水器电热水器家用洗澡扁桶一级能效大容量60升速热B39D,1096,200+,,自营,https://item.jd.com/100041232320.html,(100+),-1,-1,96%
美的（Midea）出品电热水器家用速热60升卫生间50升储水式80升恒温节能40升热水器上门安装 美的出品华凌50升WA1【1-3人洗】,639,1万+,,"免邮,每满638-50",https://item.jd.com/10054979985081.html,(4100+),(30+),(30+),96%
希尔史密斯电热水器 扁桶储水式家用80升L 3000W超薄机身出水断电双内胆速热洗澡淋浴机B09D,1169,1万+,,"自营,厂商配送",https://item.jd.com/100037508463.html,(4100+),(40+),(40+),96%
万家乐【广东隔日达】家用燃气热水器煤气液化气6升7升8升10升强排即热式可第 6升电池款+铜水箱（不包安装） 液化气,280,59,,满100-5,https://item.jd.com/10062783032380.html,(10+),0,0,100%
海尔（Haier）16升家用燃气热水器天然气无级变频水伺服恒温密闭稳燃舱高楼层适用JSQ31-16KL3U1京东小家智能,2699,5万+,,"自营,每满1000-100,赠",https://item.jd.com/100013705371.html,(3.2万+),(60+),(60+),99%
希尔史密斯热水器2000W电热水器家用卫生间洗澡储水式速热60升一级能效出上门安装出租房小尺寸DX-640-60 60L,699,1000+,,自营,https://item.jd.com/100049264923.html,(300+),-1,-1,99%
希尔史密斯热水器2000W速热一级能效80升储水式安全耐用小体积防电墙全屋漏电预警电DX-801 80L,758,1万+,,,https://item.jd.com/100040508797.html,(7200+),(50+),(50+),97%
