商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
小质 破壁机家用低噪静轻音加热低声音料理机全自动婴儿辅食榨汁机豆浆机搅拌机 多功能 8叶刀头+预设菜单+预约定时 SP01,329,5000+,,"自营,每满329-30",https://item.jd.com/10061398686570.html,(1200+),-10,-10,98%
奥克斯（AUX） 破壁机 家用轻薄柔音加热多功能豆浆机破壁料理机榨汁机搅拌机辅食 PB9323 青春款-圆形底座,459,10万+,,"自营,品质认证,券350-20,",https://item.jd.com/68293481054.html,(2.1万+),(300+),(300+),97%
九阳（Joyoung） 破壁机家用免滤豆浆机全自动1.75L大容量低音降噪多功能榨汁料理Y921,749.9,50万+,,,https://item.jd.com/12454928407.html,(19万+),(1500+),(1500+),98%
九阳（Joyoung）肖战推荐 破壁机家用多功能低音降噪豆浆机榨汁机辅食1.75L大容量一多能,359.9,100万+,,自营,https://item.jd.com/100039237284.html,(35万+),(6200+),(6200+),96%
美的（Midea） 破壁机家用降噪低音全自动加热破壁料理机辅食机 智能预约多功能豆浆机榨汁机养生 1L丨一键清洗丨PB40X2-166,239,2000+,,京东物流,https://item.jd.com/10059540881236.html,(400+),-3,-3,99%
ankale 德国破壁机家用迷你小型豆浆机全自动多功能辅食机多功能榨汁机免煮免过滤1-2人食 薄荷绿450ML【 智能家用】,189,1万+,,"京东物流,免邮,满179-40",https://item.jd.com/10055130798180.html,(2300+),(10+),(10+),99%
九阳（Joyoung）破壁机豆浆机加热家用高速搅拌机婴儿辅食榨汁机料理机【肖战推荐】 L18-Y933,899.9,5万+,,"自营,每满899-300",https://item.jd.com/47025285326.html,(1.4万+),(200+),(200+),96%
蓝宝( BLAUPUNKT)柔音破壁机家用豆浆机加热全自动榨汁机搅拌机辅食机早餐机53分贝PB02云母灰,499,10万+,,自营,https://item.jd.com/100037918318.html,(2.1万+),(200+),(200+),97%
苏泊尔（SUPOR）破壁机豆浆机家用有罩轻柔低噪隔音降噪大容量多功能料理榨汁搅拌辅食早餐1-5人 加厚隔音罩,509,500+,,"京东物流,放心购,秒杀,免邮,",https://item.jd.com/10066667611181.html,(100+),-2,-2,98%
ankale 德国 破壁机家用豆浆机小型迷你全自动多功能免煮免过滤1-2人 升级款-优雅白650ML【八叶刀片/细腻无渣】 多功能,219,2万+,,"放心购,每满179-30",https://item.jd.com/10056450466236.html,(6500+),(30+),(30+),99%
美的（Midea）破壁机 家用豆浆机料理机榨汁机辅食机 智能预约果汁机PB12Easy219,439,20万+,,"自营,券1500-120,每满359-50",https://item.jd.com/100004038972.html,(16万+),(1000+),(1000+),98%
九阳（Joyoung） 肖战推荐破壁机家用豆浆机智能预约低音破壁加热料理机榨汁机多功能辅食热烘除菌 国潮高颜值低音纤薄【P165】,799.9,1万+,,"京东物流,放心购,每满779-400",https://item.jd.com/10050309383434.html,(3400+),(20+),(20+),98%
九阳（Joyoung）破壁机豆浆机加热家用高速搅拌机婴儿辅食榨汁机料理机【肖战推荐】 L18-Y933,899.9,5万+,,自营,https://item.jd.com/47025285326.html,(1.4万+),(200+),(200+),96%
小浣熊破壁机家用豆浆机降噪长时预约加热保温迷你小型果汁榨汁高速搅拌料理机免洗免滤免泡辅食早餐 1L白色大屏旗舰款,299,20万+,,自营,https://item.jd.com/10067472867624.html,(800+),-5,-5,99%
小熊（Bear） 轻音破壁机家用 大容量预约加热豆浆机 1.5升多功能早餐机 料理机 榨汁机 辅食 【1.5L升级智能款】PBJ-C16Q8,369,5000+,,"京东物流,放心购,免邮,满339-60",https://item.jd.com/10053911169584.html,(1000+),(10+),(10+),97%
奥劲（AOJING） 德国静轻音破壁机家用多功能全加热进破壁口料理机免手洗豆浆机婴儿辅食预约榨汁机 象牙白,980,5000+,,"京东物流,放心购,免邮,满980-474",https://item.jd.com/10055680189844.html,(3100+),-1,-1,99%
苏泊尔（SUPOR）破壁机 家用智能预约加热破壁料理机 适用3人以上榨汁机豆浆机果汁机搅拌机辅食SP815SC,438.9,20万+,,"自营,1件9折",https://item.jd.com/100013763115.html,(5.7万+),(600+),(600+),97%
九阳（Joyoung）肖战推荐 破壁机家用多功能加热破壁豆浆机果汁机早餐榨汁机辅食Y91S,299.9,100万+,,"自营,每满299-20",https://item.jd.com/100007735968.html,(36万+),(6300+),(6300+),96%
蓝宝( BLAUPUNKT)柔音破壁机家用豆浆机加热全自动榨汁机搅拌机辅食机早餐机53分贝云母灰,549,2万+,,自营,https://item.jd.com/100023105957.html,(2800+),(30+),(30+),97%
美菱（MELING） 破壁机家用豆浆机免洗自清洁大容量破壁免滤榨汁机 升级大屏【智能】,199,2000+,,免邮,https://item.jd.com/10063200839387.html,(600+),-6,-6,97%
九阳（Joyoung）【肖战推荐】破壁机家用多功能智能触控预约加热豆浆机绞肉馅榨汁机辅食果汁机,539.9,2000+,,"京东物流,放心购,闪购,免邮,",https://item.jd.com/10061772041098.html,(400+),-2,-2,98%
美的（Midea）破壁机1.75L家用多功能料理机大容量豆浆果汁辅食机PB15X3-143C除菌洗,799,50万+,,"自营,每满699-100,赠",https://item.jd.com/100027792666.html,(16万+),(1700+),(1700+),98%
美的（Midea） 破壁机家用小型豆浆机大功率一体机迷你搅拌机米糊低噪多功能榨汁机一键清洗免洗 【入门单杯-高性价比】MJ-PB40X2-701,299,2000+,,"自营,每满299-50",https://item.jd.com/10063202934188.html,(300+),-2,-2,98%
九阳（Joyoung） 破壁机轻音家用1.5L大容量隔音罩柔音降噪豆浆机智能预约加热高速榨汁机 P919,799,2000+,,"京东物流,放心购,免邮,每满799-300",https://item.jd.com/10061799918792.html,(600+),-5,-5,98%
小米有品破壁豆浆机家用静音辅食机冷热双用,329,5000+,,自营,https://item.jd.com/10061398686570.html,(1200+),-10,-10,98%
小熊（Bear） 小熊1.5升破壁机家用料理机多功能小型加热全自动豆浆机新款轻音研磨机辅食 【豪华双杯款】PBJ-B10U5,499,500+,,"京东物流,免邮,满459-20,赠",https://item.jd.com/10058310988563.html,(100+),0,0,100%
德国瑞本（RANBEM）破壁机家用免过滤豆浆机多功能大容量智能预约定时加热辅食五谷研磨果蔬料理机 米白色（1.2L大容量）,269,5000+,,"京东物流,放心购,秒杀,免邮,,",https://item.jd.com/10055486572544.html,(1200+),-3,-3,99%
苏泊尔（SUPOR） 破壁机低音破壁家用智能预约加热豆浆机可拆洗榨汁机1.4L蓝色SP608S,749,5000+,,"自营,秒杀,每满839-90",https://item.jd.com/10044844108271.html,(800+),(10+),(10+),95%
小浣熊 破壁机家用豆浆机迷你小型果汁榨汁搅拌料理机免洗免过滤辅食机 350Ml绿色标准款,159,1万+,,"免邮,满159-20,赠",https://item.jd.com/10052161975161.html,(1600+),(10+),(10+),98%
苏泊尔（SUPOR） 破壁机豆浆机家用降噪低音免过滤榨果汁机婴儿辅食米糊机磨粉多功能料理 升级降噪版,309,5万+,,放心购,https://item.jd.com/10038436612340.html,(1.6万+),(200+),(200+),97%
米家 小米低音破壁机 迷你豆浆机多功能家用小型 mini智能破壁榨汁机 家用易清洗 低噪轻音 米家APP,289,1万+,,自营,https://item.jd.com/100032785987.html,(1800+),(30+),(30+),96%
KEHEAL 小米有品 科西静轻音破壁机家用豆浆机七重降噪低音一键自清洁大容量全自动料理机榨汁机 1.5L白色,699,2000+,,"自营,每满699-300",https://item.jd.com/10056026908895.html,(700+),-7,-7,98%
HYUNDAI静轻音破壁机家用豆浆机柔声低音料理机玻璃杯体加热保温低声音全自动婴儿辅食榨汁机沙冰搅拌机 带降音罩+18大功能款,279,5000+,,"京东物流,放心购,免邮,满200-30",https://item.jd.com/10045065866168.html,(600+),(10+),(10+),96%
京品家电苏泊尔(SUPOR)破壁机 易洁可拆洗系列 家用多功能 豆浆机多维降噪智能预约榨汁磨粉料理机辅食 SP902S,649,20万+,,"自营,赠",https://item.jd.com/100013473444.html,(5.7万+),(600+),(600+),97%
九阳（Joyoung）破壁机豆浆机家用免滤1.75L大容量高转速强劲电机多功能12小时智能预约 一多能,439.9,5000+,,"自营,秒杀,每满439-70",https://item.jd.com/10047381655097.html,(1200+),(20+),(20+),96%
九阳（Joyoung） 破壁机家用免滤豆浆机全自动1.75L大容量低音降噪多功能榨汁料理机Y921,749.9,50万+,,"京东物流,免邮,每满749-150,赠",https://item.jd.com/12454928407.html,(19万+),(1500+),(1500+),98%
瑞本（RANBEM）德国 迷你破壁机家用豆浆机小型加热免过滤自动清洗多功能辅食料理机宿舍 清新绿 800ML升级款【十叶刀头】,199,1万+,,"京东物流,放心购,免邮,券190-10,",https://item.jd.com/10066046803472.html,(3600+),-2,-2,99%
olayks出口原款 迷你豆浆破壁机家用小型一人食全自动料理机多功能免洗豆浆机1-2人低音豆浆机,232,2000+,,"自营,1件9折",https://item.jd.com/100039515171.html,(300+),(10+),(10+),95%
小熊（Bear） 破壁机家用小型多功能迷你豆浆机预约加热料理机榨汁机自动米糊果汁免滤 PBJ-B05G1,279,2000+,,"京东物流,放心购,免邮,满249-10",https://item.jd.com/10044650842337.html,(400+),-3,-3,97%
九阳（Joyoung）破壁机家用豆浆机免滤1.75L大容量多功能智能预约新一代太空科技轻量化杯体 L18-P556,1199.9,2000+,,"自营,每满1199-500",https://item.jd.com/10057631763103.html,(500+),-7,-7,97%
ankale 德国破壁机家用迷你小型豆浆机全自动多功能辅食机多功能榨汁机免煮免过滤1-2人食 薄荷绿450ML【 智能家用】,189,1万+,,放心购,https://item.jd.com/10055130798180.html,(2300+),(10+),(10+),99%
ankale 德国破壁机机家用迷你小型豆浆机全自动多功能辅食机多功能榨汁机免煮免过滤1-2人食 升级款-优雅白450ML【八叶刀片/细腻无渣】,179,2000+,,"京东物流,满179-30",https://item.jd.com/10059194005624.html,(900+),-3,-3,99%
德国瑞本（RANBEM）破壁机家用小型豆浆机预约定时加热自动清洗辅食免过滤多功能料理机 1-3人 灰蓝紫,166,1万+,,"京东物流,放心购,秒杀,免邮,,",https://item.jd.com/10043840438230.html,(2200+),-2,-2,99%
小熊（Bear）破壁机家用 豆浆机多功能料理机 榨汁机 全自动 一键高温清洗 超大容量 PBJ-D10T1 1.75L,329,50万+,,"自营,满329-30",https://item.jd.com/100028327053.html,(22万+),(1100+),(1100+),99%
蓝宝（BLAUPUNKT） 德国蓝宝柔音破壁机家用低音加热全自动小型豆浆机非静音榨汁机多功能料理机 【7仓就近发货】PB02柔音,599,2万+,,"京东物流,放心购,免邮,每满500-100",https://item.jd.com/10034090037256.html,(3200+),(20+),(20+),97%
美菱 （MeiLing）柔音破壁机豆浆机家用多功能料理机全自动榨汁机免手洗辅食机预约定时降噪低音隔 1.65L | 八刀防糊底 | MB-DC1545,599,2000+,,"京东物流,免邮,满579-300",https://item.jd.com/10061180034441.html,(600+),(10+),(10+),97%
美的（Midea）安睡破壁机1.2升低音 预约定时隔音降噪细腻搅打豆浆机辅食机料理 触控款MJ-PB40ST11,529,1000+,,自营,https://item.jd.com/10064297335469.html,(500+),-8,-8,97%
美菱（MeiLing）破壁机豆浆机家用隔音罩轻音降噪多功能婴儿辅食全自动料理机榨汁机无渣免滤自动清洗 1.65L | 八刀防糊底 | DC1545,589,77,,满569-300,https://item.jd.com/10066328664806.html,(20+),0,0,95%
ankale 德国破壁机家用小型豆浆机全自动多功能辅食机免煮免过滤可视预约定时榨汁机3-4人食 雅典绿850ML【 智能家用】,219,1000+,,"京东物流,放心购,免邮,满219-10",https://item.jd.com/10062402311317.html,(600+),-1,-1,99%
德国瑞本（RANBEM）迷你破壁豆浆机小型家用预约定时加热自动清洗辅食机多功能免过滤碎冰1人 伴手礼 复古绿（小巧便携）,249,5000+,,"京东物流,放心购,免邮,券300-30,",https://item.jd.com/10041005839905.html,(900+),-1,-1,99%
美的（Midea）低音破壁机安睡升级43dB降噪静柔音破壁豆浆机辅食料理榨汁机 MJ-PB80S2,699,20万+,,"自营,券1500-120,每满689-30,赠",https://item.jd.com/100017741705.html,(21万+),(800+),(800+),99%
蓝宝( BLAUPUNKT)柔音破壁机53dB家用豆浆机低音一键清洗烘干榨汁机搅拌机辅食早PB-C01-ZMD,409,10万+,,"自营,满399-30",https://item.jd.com/100044971055.html,(2.1万+),(200+),(200+),97%
九阳（Joyoung） 破壁机加热破壁料理机家用破壁豆浆机可预约料理机1L精巧容量【肖战推荐】 【1L精致容量】复古绿,259.9,500+,,"京东物流,放心购",https://item.jd.com/10057222269563.html,(90+),-1,-1,98%
九阳（Joyoung） 【肖战推荐】破壁机家用豆浆机低音免滤热烘除菌多功能智能预约料理机榨汁机辅食 升级双杯低音热烘除菌【P139】,899.9,2万+,,"京东物流,放心购,每满879-460,赠",https://item.jd.com/10031656376416.html,(8700+),(70+),(70+),98%
奥克斯（AUX）破壁机家用 柔音降噪豆浆机安睡隔音罩多功能榨汁机加热免滤料理机辅食早餐49分贝 9733Z,429,10万+,,"自营,券429-30",https://item.jd.com/100039459664.html,(2.9万+),(600+),(600+),96%
荣事达破壁机家用降噪豆浆机多功能加热预约搅拌料理机婴儿辅食机榨汁机早餐RZ-0412C1,199,2万+,,自营,https://item.jd.com/100017325119.html,(7700+),(100+),(100+),97%
智选京品 YENACOO破壁机豆浆机榨汁家用辅食搅拌免洗多人米糊多功能料理搅碎 降噪设计预约定时自清洗8叶,329,2000+,,"自营,新品",https://item.jd.com/100044566091.html,(400+),-2,-2,99%
美的（Midea）破壁机家用早餐豆浆机多功能辅食料理机榨果汁不沾底盘 MJ-PT11,299,50万+,,自营,https://item.jd.com/100035598258.html,(16万+),(1700+),(1700+),98%
ankale 德国破壁机家用迷你小型豆浆机全自动多功能辅食机多功能榨汁机免煮免过滤1-2人食 薄荷绿650ML【 智能家用】,219,1万+,,"京东物流,放心购,免邮,满189-40",https://item.jd.com/10055130798181.html,(2300+),(10+),(10+),99%
HYUNDAI静轻音破壁机家用豆浆机柔声低音料理机玻璃杯体加热保温低声音全自动婴儿辅食榨汁机沙冰搅拌机 带降音罩+11大功能款,299,5000+,,"京东物流,放心购,免邮,满200-30",https://item.jd.com/10056651389770.html,(600+),(10+),(10+),96%
九阳（Joyoung）肖战推荐 破壁机多功能家用小型预约加热破壁料理榨汁豆浆绞肉辅食L12-P127,288.7,2万+,,"自营,1件9折",https://item.jd.com/100011920581.html,(5600+),(80+),(80+),97%
KEHEAL科西家用破壁机低音多功能加热智能定时预约免滤豆浆机果蔬榨汁机辅食免手洗MP1 1.5L大容量,399,5000+,,"自营,券1500-120",https://item.jd.com/100032785963.html,(900+),(10+),(10+),98%
九阳（Joyoung）破壁机 家用多功能预约加热榨汁豆浆机破壁机绞肉辅食L12-P127【企业采购】【支持一件代发】,259.9,2000+,,"自营,闪购",https://item.jd.com/100033779724.html,(300+),-3,-3,98%
苏泊尔（SUPOR）破壁机豆浆机家用有罩轻柔低噪隔音降噪大容量多功能料理榨汁搅拌辅食早餐1-5人 加厚隔音罩,509,500+,,放心购,https://item.jd.com/10066667611181.html,(100+),-2,-2,98%
大宇（DAEWOO）破壁机家用小型迷你豆浆机1-2人多功能全自动水果榨汁机婴儿辅食免洗免滤细腻免泡600ml 紫色,499,5000+,,"京东物流,放心购,每满449-270",https://item.jd.com/10054097673749.html,(1200+),(10+),(10+),98%
九阳（Joyoung） 破壁机家用免滤豆浆机大容量同款豆浆加热小型料理全自动多功能 L12-P155,279.9,2000+,,自营,https://item.jd.com/100033454813.html,(500+),-9,-9,96%
奥克斯（AUX）破壁机家用豆浆机轻薄柔音加热榨汁机多功能破壁料理机全自动搅拌辅食碎冰机早餐PB9329A,359,10万+,,自营,https://item.jd.com/100003689961.html,(2.9万+),(600+),(600+),96%
小浣熊破壁机家用豆浆机降噪长时预约加热保温迷你小型果汁榨汁高速搅拌料理机免洗免滤免泡辅食早餐 600ML熏衣紫标准款,199,20万+,,自营,https://item.jd.com/10067472867623.html,(800+),-5,-5,99%
志高（CHIGO）静柔音破壁机 家用豆浆机 全自动榨汁机搅拌机 48dB低音降噪辅食 PB301,298,1万+,,自营,https://item.jd.com/100037802425.html,(4500+),(70+),(70+),97%
苏泊尔（SUPOR） 破壁机低音破壁家用智能预约加热豆浆机可拆洗榨汁机1.4L蓝色SP608S,749,5000+,,自营,https://item.jd.com/10044844108271.html,(800+),(10+),(10+),95%
奥克斯（AUX） 破壁机 家用轻薄柔音加热多功能豆浆机破壁料理机榨汁机搅拌机辅食 PB9323 隔音款-方形底座,509,10万+,,"自营,品质认证,券350-20,",https://item.jd.com/10053993925898.html,(2.1万+),(300+),(300+),97%
大宇（DAEWOO）破壁机低音豆浆机迷你全自动免手洗搅拌机营养调理机家用FP02樱花粉,519,1万+,,"自营,券1500-120,每满479-50",https://item.jd.com/100035396361.html,(2500+),(20+),(20+),98%
