商品标题,商品价格,评论量,标签,商品详情页,好评数量,中评数量,差评数量,分数
Haier/海尔冰箱双门小冰箱小型迷你家用家电超薄风冷无霜/直冷二门节能电冰箱 190升双门风冷无霜190WDPT,1699,10万+,"京东物流,免邮",https://item.jd.com/31106890970.html,(3.4万+),(200+),(200+),98%
Haier/海尔两门冰箱272升双变频风冷无霜小型家用双门电冰箱大容量宿舍租房BCD-272WDPD 深空灰拉丝外观 匠心工艺 大两门272升,2399,2万+,"免邮,满2399-300",https://item.jd.com/57392837086.html,(1.4万+),(90+),(90+),98%
Haier【新品】海尔冰箱三门风冷无霜235升智能双变频一级能效干湿分储家用小型节能电 【BCD-2 3 5WLHC35DDY-银河灰】,2499,2万+,"京东物流,免邮",https://item.jd.com/10025884720317.html,(9000+),(50+),(50+),98%
Haier【新品】海尔冰箱三门风冷无霜235升智能双变频一级能效干湿分储家用小型节能电 【BCD-2 3 5WLHC35DDY-银河灰】,2499,2万+,,https://item.jd.com/10025884720317.html,(9000+),(50+),(50+),98%
Haier海尔（Haier）海尔大冰箱481升一级能效超大容量变频，干湿分储，T-ABT杀菌,3799,39,自营,https://item.jd.com/100046401791.html,(10+),0,0,100%
Haier海尔冰箱家用风冷无霜冷藏冷冻保鲜双开门小型电冰箱,1799,100+,"自营,厂商配送",https://item.jd.com/100048015419.html,(20+),0,0,100%
Haier海尔冰箱家用风冷无霜冷藏冷冻保鲜双开门小型电冰箱,1799,100+,自营,https://item.jd.com/100048015419.html,(20+),0,0,100%
Haier海尔冰箱家用风冷无霜冷藏冷冻净味保鲜三门三温小型电冰箱,1999,100+,"自营,厂商配送",https://item.jd.com/100048015413.html,(20+),0,0,100%
Haier海尔冰箱家用风冷无霜冷藏冷冻净味保鲜三门三温小型电冰箱,1999,100+,自营,https://item.jd.com/100048015413.html,(20+),0,0,100%
Haier海尔冰箱家用直冷风冷无霜DEO净味保鲜小冰箱双开门迷你小型电冰箱 118升节能直冷118TMPA,899,2万+,"京东物流,放心购,免邮,券8888-88,",https://item.jd.com/10026717863847.html,(7100+),(30+),(30+),98%
Haier海尔冰箱家用直冷风冷无霜DEO净味保鲜小冰箱双开门迷你小型电冰箱 180升节能直冷180TMPS,1098.9,2万+,"放心购,秒杀,免邮,券8888-88,赠",https://item.jd.com/10026717863848.html,(7100+),(30+),(30+),98%
Haier海尔冰箱三门超薄小型迷你家用家电风冷无霜/直冷小冰箱电冰箱 180升双开门节能直冷180TMPS,1099,5万+,,https://item.jd.com/50022509932.html,(2.4万+),(100+),(100+),98%
Haier海尔冰箱三门超薄小型迷你家用家电风冷无霜/直冷小冰箱电冰箱 218升三开门节能直冷218STPS,1299,5万+,"京东物流,免邮",https://item.jd.com/61295583565.html,(2.4万+),(100+),(100+),98%
Haier海尔冰箱三门超薄小型迷你家用家电风冷无霜/直冷小冰箱电冰箱 小冰箱单开门50升一级节能50EN,699,5万+,"京东物流,免邮",https://item.jd.com/10049340781764.html,(2.4万+),(100+),(100+),98%
HYUNDAI（韩国现代） 冰箱四开门312升大容量 法式多门冰箱家用 双对开门电冰箱 四门三温 312L 金色【一天不到1度电】【晒图送6年保修】,1498,2000+,"秒杀,免邮,券1548-50,赠",https://item.jd.com/45636888948.html,(1400+),(20+),(20+),95%
HYUNDAI（韩国现代） 冰箱四开门312升大容量 法式多门冰箱家用 双对开门电冰箱 四门三温 330L 灰色【一天不到1度电】【晒单送6年保修】,1599,2000+,"免邮,券300-5,赠",https://item.jd.com/10056063394457.html,(1400+),(20+),(20+),95%
HYUNDAI（韩国现代）108升三门小冰箱 多门小型迷你租房宿舍电冰箱节能保鲜 108升【租房3人适用】【一级能效】,558,5万+,"秒杀,券300-5,每满578-20,赠",https://item.jd.com/10030034597322.html,(1.8万+),(300+),(300+),94%
HYUNDAI（韩国现代）108升三门小冰箱 多门小型迷你租房宿舍电冰箱节能保鲜 108升【租房3人适用】店长推荐,538,5万+,"京东物流,秒杀,每满558-20,赠",https://item.jd.com/28727205233.html,(1.8万+),(300+),(300+),94%
HYUNDAI（韩国现代）157升 双门电冰箱小型家用双开门冰箱 宿舍租房冷藏冷冻小 【157升】店长推荐【冷藏三层1抽屉下冷冻2抽屉】,698,1万+,"秒杀,免邮,券300-5,每满708-10,赠",https://item.jd.com/69995207624.html,(2600+),(30+),(30+),95%
HYUNDAI（韩国现代）157升双门冰箱 小型迷你双开门电冰箱家用租房节能保鲜 【157L】店长推荐【冷藏三层1抽屉下冷冻2抽屉】,698,1万+,"秒杀,免邮,券300-5,每满708-10,赠",https://item.jd.com/69932434178.html,(4400+),(60+),(60+),95%
HYUNDAI（韩国现代）迷你冰箱小 冰箱小型电冰箱双门家用宿舍冷冻冷藏节能 68L/升 银色【一级能效】【3天约一度电】,418,20万+,"秒杀,赠",https://item.jd.com/68398840650.html,(5.8万+),(900+),(900+),96%
Leader/海尔冰箱出品新一级能效双开门十字对开门四门双变频风冷无霜可嵌入超薄大容量 海晶灰,3299,2000+,自营,https://item.jd.com/100023727952.html,(2100+),-4,-4,99%
Leader/海尔冰箱出品新一级能效双开门十字对开门四门双变频风冷无霜可嵌入超薄大容量 海晶灰,3299,2000+,自营,https://item.jd.com/100023727952.html,(100+),-1,-1,98%
Leader海尔统帅 218升三门三温区租房家用小型电冰箱中门软冷冻超薄小冰箱 BCD-218LLC3E0C9,1149,10万+,"自营,满100-50",https://item.jd.com/100016340200.html,(3.8万+),(300+),(300+),98%
LG 御冰系列 649升超大容量对开门冰箱 双开门多重冷流 风冷无霜 保鲜冷冻分区 珠光白 S651SW12,5999,,"自营,券5000-200",https://item.jd.com/100034688618.html,(100+),-1,-1,98%
LG【全自动制冰冰箱】635L超大容量VS6透视冰箱球形制冰机家用对开门客厅冰吧S651MB78B,22999,,自营,https://item.jd.com/100035653735.html,(100+),-1,-1,98%
LIEBHERR利勃海尔(LIEBHERR) 原SBSes 8486升级版本独立式冰箱 德国原装进口 SBSes8496,98999,0,自营,https://item.jd.com/100047175433.html,0,0,0,100%
Ronsleda138升小冰箱租房 小型容量家用迷你宿舍双开门轻声省电冷藏冷冻冰箱京品家用 双门/138/银色/加厚款/一级能效,478,200+,,https://item.jd.com/10048900752038.html,(100+),-5,-5,92%
Ronsleda双门小冰箱 家用小型租房用宿舍 一级能效 冷冻冷藏大容量 双门138(全国联保)一级能效升级款 送货入户,455,11,赠,https://item.jd.com/10063662392411.html,(100+),-1,-1,98%
Ronsleda双门小冰箱迷你家用小型租房宿舍冷藏冷冻二人中型电冰箱节能省电京品家电 双门138(全国联保)一级能效省电款 送货入户,487,1000+,,https://item.jd.com/10049002263215.html,(300+),-9,-9,93%
Ronsleda小冰箱138升双门冰箱小型家用一级能效容冷藏声冷冻电冰箱京品家电C 138升级款【一级能效】【送货入户】【全国联保】,499,8,"新品,满40-30,赠",https://item.jd.com/10068029228602.html,-8,0,0,100%
Ronsleda小冰箱小型双门 迷你家用宿舍租房冷藏冷冻 电冰箱 节能大容量轻声省电 【全国联保】138省电款/一级能效/送货上门,468,2000+,"免邮,券100-10,赠",https://item.jd.com/10047860054807.html,(400+),(20+),(20+),88%
SANSUI日本山水518升对开双门家用风冷无霜冰箱纤薄机身节能省电大容量 钛银灰【一级能效+风冷无霜 】,2249,100+,满1999-100,https://item.jd.com/10046935295429.html,(20+),0,0,96%
SCANCOOL全嵌入式冰箱906升 双开门四开门隐藏橱柜超薄家用变频全风冷无霜高颜值超大容量,139999,0,"自营,厂商配送,新品",https://item.jd.com/100040573288.html,(100+),-1,-1,98%
TCL 118升芭蕾白双门均匀制冷低音环保小冰箱 迷你小型便捷节能快速冷冻 LED照明家用租房 BCD-118KA9,768,,"闪购,免邮,券1500-20",https://item.jd.com/28333124026.html,(100+),-1,-1,98%
TCL 118升双门养鲜冰箱均匀制冷低音环保小型电冰箱LED照明迷你租房节能冰箱BCD-118KA9芭蕾白,768,50万+,"自营,闪购",https://item.jd.com/1787111.html,(37万+),(3000+),(3000+),98%
TCL 186升双门养鲜冰箱节能环保风冷无霜冰箱 小型冰箱 迷你电冰箱 便捷电脑温控BCD-186WZA50,1248,5万+,"自营,闪购",https://item.jd.com/100003023806.html,(1.9万+),(100+),(100+),98%
TCL 200升L3三门养鲜冰箱 三温区中门软冷冻节能养鲜 122升大冷藏快速制冷环保材质 以旧换新 R200L3-CZJ 晶岩灰,1099,5000+,"自营,券1500-20",https://item.jd.com/10023872150077.html,(100+),-1,-1,98%
TCL 260升三门负离子养鲜冰箱一体式双变频+风冷无霜+一级能效+节能低音+智慧送风三温区三循环 260升变频一级能效 鲜活三门,1899,1000+,"自营,券1500-20,满1898-100",https://item.jd.com/10053557318796.html,(400+),-1,-1,99%
TCL 315升T1法式四门分区养鲜多门冰箱变频一级能效 风冷无霜 WIFI智控 家用电 以旧换新R315T1-D,2499,10万+,自营,https://item.jd.com/100011144257.html,(4.7万+),(300+),(300+),98%
TCL 316升V7法式养鲜冰箱四门分区养鲜冰箱 一级变频+超薄嵌入+33轻音分贝+AAT负离子养鲜 316升变频一级能效,2199,5000+,"自营,券1500-20,满2198-100",https://item.jd.com/10028681823963.html,(2800+),(10+),(10+),98%
TCL 316升冰箱法式四门对开门风冷无霜双变频一级能效分区养鲜家用超薄节能电 时尚多门,2149,80,"京东物流,免邮",https://item.jd.com/10058476265144.html,(10+),0,0,100%
TCL 316升法式多门养鲜冰箱,2199,5000+,自营,https://item.jd.com/10028681823963.html,(2800+),(10+),(10+),98%
TCL 318升V5法式养鲜冰箱变频一级分区养鲜多门对开门超薄家用电冰箱 一级能效 33分贝轻音R318V5-D,2199,10万+,"自营,满1000-100,赠",https://item.jd.com/100021688565.html,(4.7万+),(300+),(300+),98%
TCL 408升分区养鲜超薄十字对开四开多门冰箱 智能一级能效 风冷无霜 京东小家家用电BCD-408WPJD,2299,10万+,"自营,满2200-100",https://item.jd.com/100033246688.html,(4.7万+),(300+),(300+),98%
TCL 408升养鲜冰箱十字四门多门双对开门风冷无霜电冰箱 AAT负离子养鲜 超薄家用电BCD-408WZ50,1899,20万+,"自营,满1700-100,赠",https://item.jd.com/100013116380.html,(10万+),(500+),(500+),98%
TCL 486升大容量养鲜冰箱十字对开门四开门双变频风冷无霜冰箱 一级能效 京东小家电BCD-486WPJD,2699,10万+,"自营,满1000-100",https://item.jd.com/100011256704.html,(4.7万+),(300+),(300+),98%
TCL 520+~565升大容量冰箱对开门多分区家用冰箱以旧换新 超薄嵌入+风冷无霜+负离子养鲜 520+升 流光金 纤薄双开门,1999,,"自营,券1500-20",https://item.jd.com/71067048451.html,(100+),-1,-1,98%
TCL 520升大容量冰箱对开门双开门超薄风冷无霜一体双变频 智慧摆风 家用双门电BCD-520WEPZA50,2199,5000+,"自营,厂商配送",https://item.jd.com/100005421953.html,(1900+),(10+),(10+),97%
TCL 520升双变频风冷无霜对开双开门电冰箱 WIFI智控 双温区双循环 超薄家用大容量BCD-520WPJD,2199,10万+,"自营,满1000-100",https://item.jd.com/100012371498.html,(3.9万+),(100+),(100+),98%
TCL 639-650升超大容量养鲜对开门冰箱 一级能效 超薄嵌入家用电冰箱一体双变频风冷无霜对开门 R650T1-S烟墨蓝,2598,200+,"秒杀,免邮,券1500-20",https://item.jd.com/10041855835750.html,(100+),-2,-2,97%
TCL 650升超大容量养鲜对开门冰箱 一级能效 超薄嵌入家用电冰箱 一体双变频风冷无霜节能净味 纤薄对开门,2799,2000+,"自营,券1500-20,满2680-100",https://item.jd.com/10041448779174.html,(1200+),-2,-2,98%
TCL AAT负离子养鲜风冷无霜三门冰箱-R207V5-C印象灰,1999,5000+,"自营,厂商配送",https://item.jd.com/100021222096.html,(100+),-1,-1,98%
TCL【超薄金榜】TCL大容量对开门家用多分区养鲜冰箱 超薄嵌入+一体双变频+风冷无霜+一级能效+低噪 【智慧养鲜】405升晶岩灰,2299,2000+,"自营,券1500-20",https://item.jd.com/10067268777429.html,(900+),-5,-5,98%
TCL162升双门养鲜冰箱节能环保38分贝低音 121升大冷藏 环保材质 快速制冷小型便捷租房R162L3-BZ,998,50万+,"自营,厂商配送,闪购",https://item.jd.com/100020180042.html,(38万+),(3000+),(3000+),98%
TCL200升L3三门养鲜冰箱三温区中门软冷冻节能122升大冷藏快速制冷环保材质小型租房R200L3-CZ,1098,50万+,"自营,闪购,赠",https://item.jd.com/100020180000.html,(43万+),(4100+),(4100+),98%
TCL200升L3三门养鲜冰箱三温区中门软冷冻节能122升大冷藏快速制冷环保材质小型租房R200L3-CZ,1098,50万+,自营,https://item.jd.com/100020180000.html,(38万+),(3000+),(3000+),98%
TCL405升养鲜冰箱,2299,2000+,自营,https://item.jd.com/10067268777429.html,(900+),-5,-5,98%
TCL455升V3超薄大容量养鲜对开门双开门冰箱 电脑温控一级能效一体双变频风冷无霜家用电R455V3-S,2399,10万+,"自营,赠",https://item.jd.com/100023305145.html,(3.9万+),(100+),(100+),98%
TCL518升大容量养鲜对开门白色冰箱一级能效双变频风冷无霜 -32深冷速冻 超薄家用R518V5-S象牙白,2398,10万+,"自营,厂商配送,新品,闪购,",https://item.jd.com/100041997414.html,(3.9万+),(100+),(100+),98%
TCL520升T1大容量养鲜冰箱对开门双开门双变频风冷无霜冰箱 双温区双循环以旧换新家用电R520T1-S,2198,10万+,"自营,厂商配送,闪购",https://item.jd.com/100018029574.html,(3.9万+),(100+),(100+),98%
TCL639升超大容量养鲜对开门白色冰箱一级能效双变频风冷无霜-32度深冷速冻家用电R639V5-S象牙白,2698,10万+,"自营,厂商配送,新品,闪购,",https://item.jd.com/100051822175.html,(3.9万+),(100+),(100+),98%
TCL冰箱法式双开门十字多门风冷无霜双变频养鲜超薄家用大容量电冰箱R316V7-D 【316升】风冷无霜 R316V7-D晶岩灰,2199,1000+,,https://item.jd.com/10042503942286.html,(400+),-4,-4,98%
TCL冰箱双开门法式四门多门 437升一级能效双变频风冷无霜超薄嵌入式离子杀菌净味独立母婴舱家用 R437T7-D 星河菱 时尚多门,3199,200+,"自营,券1500-20,满3198-200",https://item.jd.com/10058312321855.html,(100+),0,0,100%
TCL对开冰箱双开门519升超大容量风冷无霜家用双循环630MM纤薄机身智能除味电脑控温雅典银以旧换新 对开门,1999,1000+,,https://item.jd.com/64765676883.html,(400+),-1,-1,99%
YZZN·杨子冰箱bcd-118升128升138升无霜家用节能小型冰箱 BCD-45A138-【45升双门银色】单人使用款 一级能效 质保三年 全国联保 送货上门 八仓直发,398,12,,https://item.jd.com/10060579279009.html,-6,0,0,100%
YZZN·杨子冰箱bcd-138/148/158风冷无霜小冰箱家电迷你小型家用宿舍用双门 BCD-45A138-【45升双门银色】单人使用款 一级能效 质保三年 全国联保 送货上门,398,,,https://item.jd.com/10060568855286.html,(100+),-1,-1,98%
爱心东东奥克斯（AUX）家用单门迷你小型冰箱 冷藏保鲜小冰箱 宿舍租房电冰箱 BC-22K68 22升 银色,298,5万+,"京东物流,放心购,秒杀,赠",https://item.jd.com/64213007717.html,(1.5万+),(200+),(200+),94%
爱心东东奥克斯（AUX）家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 BCD-35K118 基础普通款 银色,378,20万+,"京东物流,秒杀,赠",https://item.jd.com/25803033986.html,(5.2万+),(900+),(900+),94%
爱心东东奥克斯（AUX）家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 BCD-38K122 全新升级款 蓝色,438,,"京东物流,赠",https://item.jd.com/10027604428951.html,(100+),-1,-1,98%
爱心东东奥克斯（AUX）家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 BCD-50K128 全新升级款 金色,498,,"京东物流,赠",https://item.jd.com/22241816357.html,(100+),-1,-1,98%
爱心东东奥克斯（AUX）家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 BCD-50K128 全新升级款 银色,488,20万+,"京东物流,赠",https://item.jd.com/27071102641.html,(5.2万+),(900+),(900+),94%
爱心东东奥克斯（AUX）家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 BCD-52K136 全新升级款 银色,518,20万+,"京东物流,赠",https://item.jd.com/34613194867.html,(5.2万+),(900+),(900+),94%
爱心东东海尔（Haier）【冰箱旗舰】海尔冰箱四开门467升一级能效双循环无霜超薄店十字对开门T型门四门双开门京品家用 新一级能效丨黑金净味丨三档变温丨,4099,,"券3850-100,满4000-200",https://item.jd.com/10045627483041.html,(100+),-1,-1,98%
奥克斯（AUX） 对双开门 四门冰箱纤薄风冷无霜家用大容量双循环节能省电低噪 BCD-125P160L 金色,878,,,https://item.jd.com/10064042231980.html,(100+),-1,-1,98%
奥克斯(AUX) 实标小型冰箱家用两双门迷你小型冰箱 冷藏冷冻保鲜小冰箱大容量 宿舍出租房节能电 50升双门银色（窄款）店长推荐,488,1万+,"满488-10,赠",https://item.jd.com/10035508932236.html,(500+),-8,-8,96%
奥克斯（AUX）38L冰箱双开门 冷藏冷冻保鲜无霜小冰箱 宿舍租房节能省电冰箱 银色企业采购,489,,"自营,厂商配送",https://item.jd.com/100037271852.html,(100+),-1,-1,98%
奥克斯（AUX）50升小型冰箱单门迷你 冷藏保鲜 宿舍租房节能省电冰箱 珍珠白 企业采购,498,500+,自营,https://item.jd.com/100037271950.html,(70+),-2,-2,93%
奥克斯（AUX）冰箱双门146升冰箱大容量上冷藏下冷冻两门电冰箱冷冻冷藏小型家用宿舍出租节能省电 BCD-146K176L 拉丝银,888,1000+,,https://item.jd.com/10025549077461.html,(100+),-3,-3,96%
奥克斯（AUX）法式四门冰箱大容量多门家用三温对开门节能家电 BCD-410WP458L2 对开门钛雅金,2098,,"满2098-100,赠",https://item.jd.com/10044648372904.html,(100+),-1,-1,98%
奥克斯（AUX）家用22升单门迷你小型母乳冰箱单冷藏保鲜小冰箱宿舍租房单身公寓出租房电冷藏箱 银色 银色,298,1000+,京东物流,https://item.jd.com/10024021114902.html,(100+),-9,-9,89%
奥克斯（AUX）家用单门迷你小型冰箱 冷藏保鲜小冰箱 宿舍租房电冰箱 BC-22K68L 22升,308,1万+,赠,https://item.jd.com/10041346466524.html,(1800+),(30+),(30+),95%
奥克斯（AUX）家用单门迷你小型冰箱 冷藏保鲜小冰箱 宿舍租房电冰箱 BC-22K68L 22升,308,1万+,"券99-10,赠",https://item.jd.com/10041346466524.html,(1800+),(30+),(30+),95%
奥克斯（AUX）家用单门迷你小型冰箱 冷藏保鲜小冰箱 宿舍租房电冰箱 BC-70P128L 70升,528,,赠,https://item.jd.com/10051185279314.html,(100+),-1,-1,98%
奥克斯（AUX）家用单门迷你小型冰箱 冷藏微冷冻保鲜小冰箱宿舍租房电冰箱 BC-22K68L 22升银色,308,500+,满308-10,https://item.jd.com/10024995440045.html,(80+),-3,-3,92%
奥克斯（AUX）家用迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电冰箱 实标 银色35升/升级/双门 配置灯和门搁架,448,1000+,,https://item.jd.com/10025441574394.html,(300+),-9,-9,94%
奥克斯（AUX）家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电冰箱 银色,408,10万+,赠,https://item.jd.com/10035978902334.html,(8500+),(60+),(60+),97%
奥克斯（AUX）家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电冰箱实标 38升双门 银色,408,200+,"满300-10,赠",https://item.jd.com/10035720694853.html,(30+),0,0,91%
奥克斯（AUX）实标38升家用小型冰箱双门式冷冻冷藏两门母乳小冰箱寝室公寓宿舍用迷你节能电BCD-38K银 银色 银色,398,,京东物流,https://item.jd.com/32988245801.html,(100+),-1,-1,98%
奥克斯（AUX）双门125升冰箱大容量上冷藏下冷冻两门电冰箱冷冻冷藏小型家用宿舍出租节能省电低噪 BCD-125P160L 银色,808,2000+,"券798-30,赠",https://item.jd.com/10026453610510.html,(500+),(10+),(10+),94%
奥克斯（AUX）双门迷你冰箱小型家用冷藏冷冻保鲜小冰箱宿舍出租房节能国产精选电 22升冷藏小(三天一度电),308,5000+,满308-10,https://item.jd.com/10026552593037.html,(700+),(10+),(10+),92%
奥克斯（AUX）小冰箱家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 35升双门银色基础款(无灯+无搁架),388,2万+,"满388-10,赠",https://item.jd.com/10044594631349.html,(8700+),(60+),(60+),98%
奥克斯（AUX）小冰箱家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 38升双门橙色升级款（灯+门搁架）,438,2万+,"券3999-200,满428-10,赠",https://item.jd.com/10044594631354.html,(100+),-1,-1,98%
奥克斯（AUX）小冰箱家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 38升双门蓝色升级款（灯+门搁架）,438,2万+,"满428-10,赠",https://item.jd.com/10044594631353.html,(8700+),(60+),(60+),98%
奥克斯（AUX）小冰箱家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 52升双门蓝色（宽款）店长推荐,528,,"满508-10,赠",https://item.jd.com/10044594631357.html,(100+),-1,-1,98%
奥克斯（AUX）小冰箱家用双门迷你小型冰箱 冷藏冷冻保鲜小冰箱 宿舍租房节能电 75升双门银色（推荐2-3人使用）,638,,"满638-10,赠",https://item.jd.com/10052264860004.html,(100+),-1,-1,98%
奥马(Homa) 125升 双门省电小冰箱 小型电冰箱家用 出租房宿舍冷藏双开门两门二门 白色 BCD-125H,749,20万+,"自营,券99-15",https://item.jd.com/100005634601.html,(34万+),(9000+),(9000+),96%
奥马(Homa)106升 双门冰箱 低噪节能 迷你小冰箱 租房家用 金色 BCD-106,1099,2000+,自营,https://item.jd.com/100014248364.html,(3000+),0,0,99%
奥马(Homa)242升风冷无霜大容量双开门电冰箱 两门二门节能 小户型家用租房办公 冷冻分储 BCD-242WH,1799,20万+,"自营,券99-15,满1600-300",https://item.jd.com/100023292437.html,(23万+),(4400+),(4400+),97%
奥马(Homa)60cm以下超薄可嵌入252升风冷无霜四开门法式多门三开门小户型家用节能电 BCD-252WFK,1999,20万+,"自营,券99-15,满1500-200",https://item.jd.com/100018585554.html,(23万+),(4400+),(4400+),97%
奥马(Homa)超薄系列252升嵌入式薄款变频节能风冷无霜双开门四开门法式多门家用电 BCD-252WFK/B,2199,2万+,"自营,券99-15,满2000-400",https://item.jd.com/100011207433.html,(1.6万+),(80+),(80+),98%
奥马(Homa)超薄系列253升薄款一级能效变频节能风冷无霜双开门四开门法式多门家用电 BCD-253WF/B,3199,2万+,"自营,券99-15,满2000-400",https://item.jd.com/100013118177.html,(1.6万+),(80+),(80+),98%
奥马(Homa)超薄系列365升风冷无霜一级能效变频十字四开门双开门家用电冰箱 零度保鲜 BCD-365WDK/B,2599,2万+,"自营,券99-15,满2000-300",https://item.jd.com/100012795384.html,(1.6万+),(80+),(80+),98%
奥马(Homa)超薄系列452升薄款嵌入式一级能效风冷无霜变频双开门对开门家用电 BCD-452WKH/B,2599,2万+,"自营,券99-15,满2000-200",https://item.jd.com/100018585574.html,(1.6万+),(80+),(80+),98%
奥马(Homa)对开门四开门家用电冰箱风冷无霜超薄冰箱一级能效双变频零度保鲜BCD-365WDK/B,2899,1000+,满2888-600,https://item.jd.com/68160707722.html,(700+),-4,-4,97%
澳柯玛（AUCMA） 387升立式风直冷单门商用冷藏冰箱展示柜 超市饮料啤酒保鲜冷柜 冷饮茶叶陈列冰柜 SC-387NE,1799,5万+,自营,https://item.jd.com/1316950.html,(3.5万+),(400+),(400+),97%
冰熊（bingxiong）小双门冰箱小型家用迷你电冰箱节能宿舍冷藏冷冻BCD-42S128全国联保 BCD-35S118-35L银,308,20万+,,https://item.jd.com/43085110924.html,(4.5万+),(400+),(400+),96%
博世 6系 605升大容量多门家用冰箱 双变频 维他保鲜家居互联电冰箱 KFF98AA63C 焦糖栗色,16999,0,自营,https://item.jd.com/100050499921.html,0,0,0,100%
博世（BOSCH）【云朵白玻璃门】484升嵌入式家用变频无霜保鲜对开多门四门双循环电KME48S20TI以旧换新,7699,2万+,"自营,每满1000-100,赠",https://item.jd.com/2373740.html,(1.3万+),(80+),(80+),98%
创维 (SKYWORTH）210升小冰箱 三门家用小型电冰箱 三门三温区中门软冷冻 保鲜省电低音P21TJ,949,50万+,自营,https://item.jd.com/100032078455.html,(37万+),(2600+),(2600+),98%
创维 (SKYWORTH）232升 三开门三温冰箱 家用公寓租房工程项目用小冰箱不占地 BCD-232T晨曦金,1049,100+,自营,https://item.jd.com/100047267075.html,(40+),-1,-1,98%
创维 (SKYWORTH）232升 三开门三温冰箱 家用公寓租房工程项目用小冰箱不占地 BCD-232T晨曦金,1049,100+,"自营,厂商配送",https://item.jd.com/100047267075.html,(40+),-1,-1,98%
创维(SKYWORTH) 160升小型双门冰箱家用两门小冰箱 节能电冰箱 宿舍租户神器 节能降噪 BCD-160,799,50万+,自营,https://item.jd.com/990705.html,(37万+),(2600+),(2600+),98%
创维(SKYWORTH) 410升家用对开门冰箱 风冷无霜节能省电 触摸屏电脑纤薄嵌入机身 BCD-410WKY_晨曦灰,1699,200+,自营,https://item.jd.com/100046232387.html,(30+),0,0,100%
创维(SKYWORTH) 460升智能双变频风冷无霜净味养鲜双开门对开门家用电冰箱超薄嵌入BCD-460WKP(N),1899,5万+,"自营,券1000-100",https://item.jd.com/100027683408.html,(2.6万+),(100+),(100+),98%
创维(SKYWORTH) 冰洗套装186升爆款节能家用冰箱+8公斤省水家用全自动波轮洗衣机爆款套购(附件商品仅展示),1529,20万+,自营,https://item.jd.com/100022160391.html,(8.3万+),(600+),(600+),98%
创维（Skyworth）【本地仓发货】创维冰箱160升小型双门家用两门小冰箱 节能省电降噪租房租户宿舍神器小机身不占地 BCD-160,799,100+,京东物流,https://item.jd.com/10061272806009.html,(20+),0,0,100%
