商品标题,商品价格,评论量,标签,商品详情页
美的（Midea）出品电热水器家用速热60升卫生间50升储水式80升恒温节能40升热水器上门安装 美的出品华凌60升WA1【1-3人洗】,689,1万+,"京东物流,免邮,每满688-50",https://item.jd.com/10054979985082.html
希尔史密斯热水器2000W速热一级能效40升储水式安全耐用小体积防电墙全屋漏电预警电DX-401 40L,458,1万+,,https://item.jd.com/100040508805.html
万和（Vanward）12升燃气热水器家用热水器66重安全防护AI智能私人定制JSQ24-370J12（20Y）,769,20万+,"自营,厂商配送",https://item.jd.com/100015285210.html
志高（CHIGO）电热水器家用储水式卫生间洗澡2200W出水断电40升扁桶双胆速热 顶配扁桶电脑款+远程遥控+出水断电+上门安装 60升(3人),839,1万+,,https://item.jd.com/10047455173147.html
万和（Vanward）12升燃气热水器 智能自适温 变频恒温 天然气 JSQ24-225T12 自适温系列-天然气 无极变升,1098,5万+,"京东物流,免邮,每满1098-349",https://item.jd.com/23760049039.html
万家乐 13升燃气热水器(天然气) 四驱恒温水气双调智能变升ECO节能 四季随温感 浴缸水满智提醒JSQ26-D5,1099,10万+,自营,https://item.jd.com/8776535.html
海信（Hisense）50升电热水器5.5倍增容健康灭菌大屏触控速热节能省电防电墙防电闸安全DC50-W1513T,658,5万+,"自营,秒杀,赠",https://item.jd.com/100031357598.html
美的储水式电热水器电60升大水量速热数显一级节能省电安全防电墙智能家电3-4人F6021-X1(S),1109,2万+,"京东物流,免邮,每满1100-210",https://item.jd.com/11402542283.html
万家乐 13升燃气热水器京东小家智能 双增压增容零冷水天然气WIFI智控JSQ26-13DL1【佛山标准产品】,1449,50万+,"自营,满1449-50,赠",https://item.jd.com/100024244028.html
老板（Robam）16+1升燃气热水器天然气 智能变频恒温 ±0.2℃控温 下置直流变频风机 智慧防冻强鼓式HD660A-16,3499,9,"自营,厂商配送",https://item.jd.com/100052027647.html
华帝（VATTI）16升燃气热水器天然气 家用即热式 全面玻璃屏 省气节能恒温 智能wifi 气电双断 i12152-16,1699,2万+,自营,https://item.jd.com/100032777994.html
苏泊尔（SUPOR）燃气热水器13升智能变频恒温 家用天然气热水器 水气双调三档变升双防冻13R-DM32,799,1万+,"自营,厂商配送,赠",https://item.jd.com/100050420591.html
美的（Midea）电热水器40/50/60升家用洗澡高效速热出租屋节能省电健康洗浴小型储水式卫生间安全防漏 50升S1【2000W速热防电墙】,679,5000+,自营,https://item.jd.com/10035603908137.html
厅和好太太（TingHeHaoTaiTai）热水器电热水器家用洗澡小型储水式热水器出租房扁桶 40升圆桶数显+出水断电+双防电墙 自行安装,308,1万+,,https://item.jd.com/10060760695878.html
康家好太太【出水断电】储水式电热水器电家用速热恒温洗澡租房热水器卫生间淋浴2000w DSZF-60A 60升数显款,378,5000+,秒杀,https://item.jd.com/100044266037.html
希尔史密斯储水式电热水器电家用卫生间速热恒温租房小型热水器洗澡淋浴器2000w DSZF-40 80升出水断电款,858,1000+,"自营,厂商配送",https://item.jd.com/100045119487.html
海尔（Haier）16升燃气热水器天然气无级变频水伺服恒温ECO节能静音降噪云智能家用 JSQ30-16MODEL5(12T)U1,1699,100万+,"自营,每满1000-100,赠",https://item.jd.com/100029386247.html
美的储水式电热水器家用安全出租房节能省电健康洗浴小型储水式洗澡A3加长防电墙 F40-15A3【40升 1-2人适用】,648,5万+,"自营,每满648-19",https://item.jd.com/10035064977471.html
海尔（Haier）燃气热水器天然气家用恒温强排式节能省气即热洗澡智能大屏变频风机专利防冻上门安装 【统帅LY】12升 APP智能+大屏操控+五重净化,749,1万+,满749-100,https://item.jd.com/10034265074320.html
华帝（VATTI）燃气热水器 天然气 气电双断防护 恒温强排 即热式热水器 防燃气泄漏保护 低水压启动 【一厨一卫】i12103-12升,989,5000+,"自营,秒杀,券5-2",https://item.jd.com/10045304912643.html
美的储水式电热水器电多升数可选变频节能速热家用电器出水断电大水量一级能效V7S 智能黑科技【60升3-4人洗】,1899,5000+,"自营,每满1899-400",https://item.jd.com/10047353732133.html
万和（Vanward）60升电热水器家用速热恒温储水式专利防电墙双盾防护2000W安全节能【企业专享】,849,1000+,"自营,厂商配送",https://item.jd.com/100051898233.html
万家乐 16升燃气热水器电家用恒温即热式天然气 水量伺服器智能变升节能随温感17升JSQ30-16D6S(F),1299,50万+,自营,https://item.jd.com/100024213404.html
希尔史密斯储水式电热水器电家用卫生间速热恒温租房小型热水器洗澡淋浴器2000w DSZF-40 60升出水断电款,728,1000+,秒杀,https://item.jd.com/100045145795.html
美的燃气热水器HWF 天然气家用即热式洗澡恒温水气双调变频恒温ECO节能热水器上门安装 【12升】节能真恒温超高性价比 6年整机包修,747,500+,自营,https://item.jd.com/10058486018743.html
希尔史密斯热水器电热水器2000W家用卫生间洗澡储水式40升圆桶小户型一级能效出租房小尺寸上门安装出水断电,464,1000+,自营,https://item.jd.com/100049264903.html
【免费上门安装】史密斯.劳伦热水器电热水器家用卫生间洗澡储水式扁桶双胆速热80升扁桶一级能效 扁桶双胆+普通数显+2000W加热+双防电墙 40升,599,10万+,,https://item.jd.com/10035306667327.html
史密斯储水式电热水器电家用卫生间速热恒温,758,1000+,"自营,厂商配送",https://item.jd.com/100045145787.html
美的热水器 储水式电热水器家用数显大水量多人洗一级节能速热健康低耗保温防电墙手机智控以旧换新MC5 72小时长效保温节能-50升【2-3人洗】,999,2000+,"自营,每满998-100",https://item.jd.com/10056150768908.html
海尔（Haier）出品统帅电热水器家用出租房储水式热水器速热省电节能专利防电墙经济2200w速热 海尔当地售后安装50L速热,599,2000+,,https://item.jd.com/10042162461177.html
奥克斯（AUX）电热水器2100W节能速热二级能效防漏电出租房公寓圆桶长效保温 50升（2100W增容速热+双防电盾+上门安装） 内胆保用8年,519,5万+,"京东物流,每满400-20",https://item.jd.com/12881313797.html
创维（Skyworth）电热水器储水式家用即热小户型40L热水器电家用洗澡圆桶速热 租房优选 淋浴速热 小型即热 金属外壳+旋钮款+极简控制+40升,599,2000+,"京东物流,满580-200",https://item.jd.com/10048148340213.html
樱花（SAKURA）燃气热水器16升 水量伺服器 日本CPU 智能恒温 多重防护 天然气 JSQ30-SP601,2099,5万+,"自营,券3880-220,满1000-100",https://item.jd.com/100039707003.html
夏佐史密斯电热水器 家用80升L扁桶储水式 2000W超薄机身出水断电双内胆速热洗澡淋浴机BD03,879,2000+,"自营,厂商配送",https://item.jd.com/100038302533.html
美的（Midea）出品电热水器家用洗澡防电墙保护速热储水式小型出租房热水器 美的出品comfee【40升 2100W】,549,2000+,每满549-30,https://item.jd.com/10036115280032.html
海信(Hisense)60升电热水器变频速热一级能效健康灭菌智能WIFI水质水量监测净彩ES60-C501i,1295,5万+,"自营,秒杀,每满1200-400,赠",https://item.jd.com/100039032341.html
海尔（Haier）16升燃气热水器天然气超一级能效双增压零冷水水气双调恒温家用JSLQ27-16ECO-LU1 京东小家智能,2299,20万+,"自营,每满1000-100,赠",https://item.jd.com/100029046906.html
史密斯.劳伦热水器电热水器电家用洗澡储水式50升扁桶一级能效速热B28-50L,999,1000+,新品,https://item.jd.com/100048089511.html
华帝（VATTI）燃气热水器 天然气 气电双断防护 恒温强排 即热式热水器 防燃气泄漏保护 低水压启动 【一厨多卫】i12103-16升,1399,5000+,"自营,券5-2",https://item.jd.com/10045304912645.html
希尔史密斯电热水器 扁桶储水式家用60升L 3000W超薄机身出水断电双内胆速热洗澡淋浴机B09D,1099,1万+,"自营,厂商配送",https://item.jd.com/100037124001.html
万和（Vanward)燃气热水器天然气家用四重防冻直流变频节能全新升级增压水伺服恒温高抗风 JSQ25-565W13【13升】【恒温旗舰款】,1599,2万+,"自营,秒杀,每满1599-400",https://item.jd.com/10044060351751.html
史密斯16升零冷水燃气热水器 专利单管巡航零冷水 8年整机质保 不锈钢换热器 恒温大水量 JSQ31-BJS,5998,5万+,"自营,厂商配送,券10-1",https://item.jd.com/100042646373.html
万和（Vanward）16升燃气热水器京东小家智能生态天然气智能防冻 直流变频 增压水量伺服器恒温 JSQ30-560J16,1299,2万+,自营,https://item.jd.com/100002972921.html
希尔史密斯热水器2000W速热一级能效80升储水式安全耐用小体积防电墙全屋漏电预警电DX-801 80L,758,1万+,,https://item.jd.com/100040508797.html
君泉（JunQuan）德国君泉（JunQuan）即热式电热水器家用小型迷你恒温快速加热免打孔出租房卫生间洗澡神器 3400W主机+配件+漏保+淋浴套装,209,2万+,满148-40,https://item.jd.com/10060053760262.html
志高（CHIGO）热水器电家用洗澡即热储水式出水断电大容量速热电热水器2200W安全节能租房用 普通数显款2000W+机械旋钮+三挡调节+自行安装 50升(2人),559,5万+,,https://item.jd.com/10044022565058.html
志高（CHIGO）热水器电家用洗澡储水式出水断电2200W速热超薄扁桶电热水器DSZF-T66DA-40L彩屏扁桶数显断电款,499,2000+,自营,https://item.jd.com/100044811859.html
海尔（Haier）13升燃气热水器天然气无级变频水伺服恒温智护自洁家用智慧节能JSQ25-13JM6(12T)U1 京东小家智能,1399,100万+,"自营,满1000-200,赠",https://item.jd.com/100004689445.html
华帝（VATTI）16升燃气热水器天然气 家用即热式 一级能效冷凝式零冷水 免滴水 增压瀑布浴 i12254-16,2699,2万+,自营,https://item.jd.com/100038241787.html
海尔（Haier）16升家用燃气热水器天然气无级变频水伺服恒温密闭稳燃舱高楼层适用JSQ31-16KL3U1京东小家智能,2699,5万+,"自营,每满1000-100,赠",https://item.jd.com/100013705371.html
万和（Vanward）16升零冷水燃气热水器佛山标准产品小魔方分屏控温一级能效冷凝天然气 LS6D16【金榜爆品】,2599,20万+,"自营,满2500-500,赠",https://item.jd.com/100010417301.html
史密斯.劳伦热水器电热水器家用洗澡扁桶一级能效大容量80升速热B31-80L,1499,500+,"新品,满800-30",https://item.jd.com/100048092401.html
希尔史密斯即热式电热水器家用小型厨房宝速热恒温免储水迷你热水宝租房卫生间洗澡神器5500w 黑色自行安装,328,5000+,自营,https://item.jd.com/100040574127.html
康家好太太【出水断电】热水器电家用洗澡双胆超薄速热出租房储水式热水器卫生间DSZF-40A 40升双胆数显款,328,5000+,,https://item.jd.com/100040574263.html
万家乐 12升燃气热水器(天然气)智能变升节能一键智能浴高温防烫锁断电记忆JSQ24-12DP2(F),799,10万+,自营,https://item.jd.com/100036788670.html
林内（Rinnai）16升燃气热水器 智慧恒温 全新升级CPU 黄金窄比 恒温系列RUS-16GD31（JSQ31-GD31）,3399,2000+,"自营,券1000-100",https://item.jd.com/100039707007.html
康家好太太【出水断电】储水式电热水器电家用速热恒温洗澡租房热水器卫生间淋浴2000w DSZF-60A 60升数显款,378,5000+,"自营,厂商配送",https://item.jd.com/100044266037.html
四季沐歌（MICOE）储水式厨用电热热水器 6.6L上出水1600W速热白色M3-J6.6-16A-H1,299,2000+,自营,https://item.jd.com/100036185336.html
志高 CHIGO 电热水器 40L家用储水式热水器2000W小型节能热水器热水宝40升自带防电墙 FD11A-40,388,2万+,"自营,厂商配送,券1500-120",https://item.jd.com/100009086253.html
万家乐【广东隔日达】家用燃气热水器洗澡煤气天然气液化气强排式低水压即热式出租房爱创仕 6升电池款+铜水箱(煤气液化气罐) 不包安装,278,2000+,,https://item.jd.com/10066582011634.html
【上门安装】夏新燃气热水器智能变频恒温强排式家用煤气低水压大屏即热式 8升机械数显【不可装浴室内】 管道天然气,398,2000+,,https://item.jd.com/10028087114559.html
樱花（SAKURA）12升燃气热水器 智能触控 低压启动 速热恒温 可抗强风 （液化气 ）JSQ23-L022,1199,5万+,"自营,券6000-600,满1000-100",https://item.jd.com/100004856031.html
【出水断电】康家好太太热水器电家用洗澡双胆超薄速热出租房储水式热水器卫生间 40升双胆触屏款 自行安装,388,100+,自营,https://item.jd.com/100040574247.html
海尔（Haier）13升燃气热水器天然气水气双调智能恒温多重防冻五重净化金色家用JSQ25-13UTS(12T),949,100万+,"自营,满500-100",https://item.jd.com/100004582089.html
康家好太太即热式电热水器家用洗澡热水器小型迷你卫生间洗澡厨房速热恒温免储水6000w 拉丝金 自行安装,229,500+,自营,https://item.jd.com/100040574443.html
志高（CHIGO）即热式电热水器 快热式小厨宝 变频恒温 即热热水器快速即热 功率可调节厂送 ZG-KB510 5500W,349,20万+,"自营,券1500-120",https://item.jd.com/100016724215.html
希尔史密斯储水式电热水器电家用卫生间速热恒温租房小型热水器洗澡淋浴超薄2kw DSZF-40 60升双胆出水断电款,899,1000+,自营,https://item.jd.com/100045145793.html
万和(Vanward) 40升电热水器家用速热恒温储水式专利防电墙双盾防护2000W安全节能【企业专享】,449,1000+,"自营,厂商配送",https://item.jd.com/100047758393.html
海信（Hisense）60升热水器家用2100W速热高效节能卫生间小户型储水式安全防电墙DC60-W1311,635,5万+,"自营,秒杀,赠",https://item.jd.com/100015023716.html
荣事达 扁桶电热水器家用 2000w双胆速热储水式热水器电 纤薄扁桶 节能省电 安全速热 经济适用 50升,579,1万+,"自营,秒杀,每满589-10",https://item.jd.com/10029189763896.html
志高（CHIGO）液化气热水器 煤气热水器燃气 变频恒温家用断电记忆【25年老品牌】 【浴室内安装】8升智能恒温平衡式+低压启动包安装 液化气（罐装,898,2000+,"京东物流,免邮,每满750-100",https://item.jd.com/10023622416564.html
海轩好太太电热水器 50升家用小型2000W速热储水式出租房节能省电圆桶数显+双防电墙安全洗浴 DX-S80B-50 50L,368,5000+,自营,https://item.jd.com/100044533243.html
飞利浦（PHILIPS）即热式电热水器 8500W速热无极变频Ai四季恒温免储水 淋浴洗澡水电分离AWH1047/93上门安装,1699,2000+,"自营,每满1699-220",https://item.jd.com/100045468013.html
箭牌即热式电热水器家用速热恒温厨房卫生间淋浴商用热水器,669,200+,"自营,厂商配送",https://item.jd.com/100030455125.html
海轩好太太电热水器 40升家用小型2000W速热储水式出租房节能省电圆桶数显+双防电墙安全洗浴 DX-S80B-40 40L,289,5000+,,https://item.jd.com/100044533225.html
太阳雨燃气热水器 12升智能恒温强排式热水器 无氧铜水箱 低水压启动 HR5102 液化气,565,2000+,自营,https://item.jd.com/100045409317.html
康家好太太【出水断电】储水式电热水器电家用速热恒温洗澡租房热水器卫生间淋浴2000w DSZF-50A 50升数显,328,5000+,秒杀,https://item.jd.com/100040574237.html
希尔史密斯10升燃气热水器 家用即热强排式天然气 智能变频恒温水气双调 多重安全防护 低水压启动 JSQ20-10A,649,2000+,自营,https://item.jd.com/100043743993.html
希尔史密斯10升燃气热水器 家用即热强排式液化气煤气 智能变频恒温水气双调 多重安防 低水压启动 JSQ20-10A,699,2000+,自营,https://item.jd.com/100043743991.html
海尔（Haier）电热水器50升60升80升家用卫生间洗澡多款可选一级能效速热省电上门安装 60升多功能款【海尔Leader】,799,5000+,,https://item.jd.com/10059108894615.html
美的（Midea）13升燃气热水器天然气水伺服恒温增压磁净化健康洗智控JSQ25-MK3 以旧换新 京东小家,1349,100万+,"自营,满1000-200,赠",https://item.jd.com/100018377988.html
万家乐 16升防冻燃气热水器天然气无级恒温舱增压零冷水CO甲烷双安防京东小家智能三重净浴JSQ30-16RL5,2199,10万+,"自营,赠",https://item.jd.com/100015786946.html
万家乐JSG24-12RH2平衡式燃气热水器即热智能恒温可装浴室 ECO节能 JSG24-12RH2 天然气,1599,1万+,"自营,满1000-100",https://item.jd.com/10022868204491.html
美的燃气热水器家用即热强排式恒温节能省气安全防冻健康净浴CO防泄漏小体积燃气厨房HWF系列 12升智能变频-恒温升级 天然气,899,2万+,"自营,每满899-151",https://item.jd.com/72402535137.html
林内（Rinnai）13升燃气热水器 智慧恒温 全新升级CPU 黄金窄比 恒温系列RUS-13GD31（JSQ26-GD31）,2999,2000+,"自营,新品,券1000-100",https://item.jd.com/100048028229.html
凯奇史密斯电热水器 60升家用超薄双胆扁桶储水式洗澡2000W变频恒温节能速热 出水断电+高倍增容 DSZF-60B,698,1000+,"自营,厂商配送",https://item.jd.com/100038310257.html
希尔史密斯双胆扁桶电热水器速热3200W家用小户型卫生间洗澡一级能效50升小型储水式出水断电50L,1239,500+,自营,https://item.jd.com/100048847807.html
